guide_deployment-10385001,出现了新的任务目标以及新的捞枪路线。
guide_deployment-10911001,当相邻位置有友军的时候可以利用换位来移动，不消耗行动点。
guide_deployment-10911002,换位......
guide_deployment-10911003,继续前进。
guide_deployment-10912001,限时机场将在下一回合开放。
guide_deployment-10912002,限时机场已经开放。
guide_deployment-10913001,夜战中没有视野的机场不能部署梯队。
guide_deployment-10913002,没有手枪的梯队就没有视野，并且该梯队没有携带夜战装备。
guide_deployment-10913003,请派遣携带夜视装备的梯队作战。
guide_deployment-10914001,占领雷达点可以在夜战中提供两个视野。
guide_deployment-10915001,不能直接占领指挥部时，可以通过占与领指挥部相邻的点来包围占领指挥部。
guide_deployment-10916001,敌方机场可能出现增援敌人，优先占领机场为致胜关键。
guide_deployment-10917001,木星炮不适合强攻，可以通过包围让其损失大部分战力。
guide_deployment-10918001,集结点是维持补给线关键点位，通过占领与指挥部相邻的点位连上补给线
guide_deployment-10918002,占领此点位。
guide_deployment-10919001,本次作战目标救援人质。
guide_deployment-10919002,选择目标。
guide_deployment-10919003,救援目标。
guide_deployment-10919004,带领目标撤离。
guide_deployment-10919005,前往撤离机场。
guide_deployment-10919006,点击梯队。
guide_deployment-10919007,点击完成回收。
guide_deployment-10920001,雷达点位在非夜战下一般有特殊用途。
guide_deployment-10920002,本次作战可以踩雷达点让敌人叛变避开强力敌人占领敌人指挥部。
guide_deployment-10921001,有的时候人质会被敌人藏匿起来。前往雷达点......
guide_deployment-10922001,红色X标记代表敌人是强力敌人，避开强力敌人作战。此敌人ai图标显示类型表示为警戒类型，长按敌人显示红色圈圈是敌人警戒范围......
guide_deployment-10922002,此敌人ai图标类型为巡逻，可以长按查看ai红色圈圈巡逻点位。黄色闪烁标记特效的路径线是巡逻路线，闪烁移动方向代表巡逻方向......
guide_deployment-10923001,重型机场可以部署支援梯队。
guide_deployment-10923002,选择支援梯队。
guide_deployment-10923003,部署支援梯队。
guide_deployment-10924001,本关迷兔之洞可以通往不同的地图场景，请前往此处。
guide_deployment-10924002,点击此处可以选择切换的地图。
guide_deployment-10924003,选择切换的场景。
guide_deployment-10924004,选择梯队。
guide_deployment-10924005,移动梯队。
guide_deployment-10924006,前往目标。
guide_deployment-10925001,敌人数量庞大建议使用空袭妖精，点击释放下回合释放技能。
guide_deployment-10926001,选择携带照明妖精的梯队。
guide_deployment-10926002,使用照明来拓宽视野。(给没有视野的空降妖精提供视野)
guide_deployment-10926003,视野拓宽完成......选择梯队。
guide_deployment-10926004,点击点位释放空降技能。
guide_deployment-10926005,照明妖精提供视野后可以进行夜间空降。
guide_deployment-10926006,选择梯队。
guide_deployment-10927001,点击扫描战场。
guide_deployment-10927002,点击设施查看其效果以及范围。
guide_deployment-10928001,本次作战需要运用支援梯队。
guide_deployment-10928002,选择目标点位。
guide_deployment-10928003,支援梯队虽然不能直接交战但是可以破坏敌人设施。
guide_deployment-10928004,支援梯队还可以远程打击敌方设施。
guide_deployment-10929001,绿的的控制台代表当前情景下可以使用。
guide_deployment-10929002,防御门关闭并且有红色禁止标志代表禁止通行，但是点上敌人可以移动出来，请前往控制台。
guide_deployment-10929003,点击此处可以操作设施。
guide_deployment-10929004,无法走上带有禁止通行的防御门。
guide_deployment-10930001,弃置歌莉娅可以拾取对设施进行爆破。
guide_deployment-10930002,拾取弃置歌莉娅。
guide_deployment-10930003,弃置歌莉娅可以对敌人使用造成大量伤害。
guide_deployment-10930004,选择目标。
guide_deployment-10931001,变电站可以对本局战斗中emp提供电力。
guide_deployment-10931002,启动变电站。
guide_deployment-10931003,EMP可以瘫痪范围2以内的敌人，并且降低属性。
guide_deployment-10931004,启动EMP。
guide_deployment-10931005,变电站已经过载。
guide_deployment-10931006,威胁指挥部的敌人已经被emp定住。
guide_deployment-10931007,尽快击杀指定目标完成任务。
guide_deployment-10931008,拾取EMP手雷。
guide_deployment-10931009,EMP手雷，可以对敌人扔出造成同样的效果。
guide_deployment-10931010,对目标使用EMP。
guide_deployment-10932001,传送节点可以跨越地形对梯队进行传送，请利用传送节点完成任务。
guide_deployment-10933001,选择梯队。
guide_deployment-10933002,释放布雷妖精技能。
guide_deployment-10933003,选择释放点位。
guide_deployment-11000001,以突击步枪为主力输出的队伍拥有稳定持续性的输出能力，适合持续性的作战场景。
guide_deployment-11000002,以步枪为主力输出的队伍拥有索敌打击敌方后排能力，适合需要开场优先击败敌方后排的作战场景。
guide_deployment-11000003,以机枪为主力输出的队伍拥有强大的短期爆发能力，但在换弹期会有输出空挡，适合需要开场爆发的作战场景。
guide_deployment-11000004,攻击目标敌人
guide_deployment-11001001,铁血梯队在每次战斗开始前都需要补给，梯队撤离时会返还口粮弹药。（本次由第三方梯队提供的口粮结束作战时不会返还给玩家。）
guide_deployment-11002001,本关启动控制台可以获得10000分，通过控制台可以启动传送节点。结算时，每个已占领机场可获得2000分，每个蓝色友方梯队存活可获得10000分。
guide_deployment-11003001,本关拾取建材可以获得10000分，<color=#00CCFF>注:本关拾取建材只有在首次或重置后首次通关拾取建材才可以在关卡3中使用</color>。
guide_deployment-11003002,结算时，每个已占领机场可获得2000分，每个蓝色友方梯队存活可获得10000分。
guide_deployment-11004001,本关拾取建材可以获得10000分，<color=#00CCFF>注:本关拾取建材只有在首次或重置后首次通关拾取建材才可以在关卡3中使用</color>。
guide_deployment-11004002,每救援一个人质1格血量可以获得2000分。
guide_deployment-11004003,结算时，每个已占领机场可获得2000分。
guide_deployment-11005001,本关可以利用关卡2捡来的建材<color=#00CCFF>在雷达点上建造设施</color>。
guide_deployment-11005002,<color=#00CCFF>建造后</color>可以通过<color=#00CCFF>指挥部</color>上的<color=#00CCFF>设施总控</color>使用这些建材升级这些设施，可以通过技能面板查看每个技能分值。
guide_deployment-11005003,<color=#00CCFF>控制台</color>可以每回合可以每回合产出资料，将资料运送到<color=#00CCFF>设施总控</color>获得10000分。
guide_deployment-11005004,修理点可以不扣分免费修理，补给一次获得5000分，结算时，每个已占领机场可获得2000分。
guide_deployment-11008001,本关可以利用关卡2捡来的建材<color=#00CCFF>在雷达点上建造设施</color>。
guide_deployment-11008002,<color=#00CCFF>建造后</color>可以通过<color=#00CCFF>指挥部</color>上的<color=#00CCFF>设施总控</color>使用这些建材升级这些设施，可以通过技能面板查看每个技能分值。
guide_deployment-11008003,<color=#00CCFF>控制台</color>可以启动为绿色状态并且防守点位为我方状态，每回合开始阶段可以给予20000分。
guide_deployment-11008004,修理点可以不扣分免费修理，补给一次获得5000分，结算时，每个已占领机场可获得2000分。
guide_deployment-11009001,本关可以利用关卡2捡来的建材<color=#00CCFF>在雷达点上建造设施</color>。
guide_deployment-11009002,<color=#00CCFF>建造后</color>可以通过<color=#00CCFF>指挥部</color>上的<color=#00CCFF>设施总控</color>使用这些建材升级或操作这些设施，可以通过技能面板查看每个技能分值。
guide_deployment-11009003,<color=#00CCFF>控制台</color>可以启动为绿色状态并且防守点位为我方状态，每回合开始阶段可以给予20000分。
guide_deployment-11009004,修理点可以不扣分免费修理，补给一次获得5000分，结算时，每个已占领机场可获得2000分，每个蓝色友方梯队存活可获得10000分。
guide_deployment-11010001,本关可以利用关卡2捡来的建材<color=#00CCFF>在雷达点上建造设施</color>，
guide_deployment-11010002,<color=#00CCFF>建造后</color>可以通过<color=#00CCFF>指挥部</color>上的<color=#00CCFF>设施总控</color>使用这些建材升级或操作这些设施，可以通过技能面板查看每个技能分值。
guide_deployment-11010003,<color=#00CCFF>控制台</color>可以每回合可以每回合产出资料，将资料运送到<color=#00CCFF>设施总控</color>获得10000分。
guide_deployment-11010004,修理点可以不扣分免费修理，补给一次获得5000分，结算时，每个已占领机场可获得2000分。
guide_deployment-11022001,本关由4个密码台破解控制中枢台。
guide_deployment-11022002,保证名字相同的控制台显示密码一致，即可破解控制中枢台。
guide_deployment-11033001,本关由6个密码台破解控制中枢台。
