()||<BIN>83</BIN><BGM>BGM_Brain</BGM><Night>:…………+……
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:但是，布洛妮娅，不知道如何回应。+布洛妮娅，无法为希儿做什么……
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:希儿知道，希儿知道……+希儿知道，都是因为希儿……布洛妮娅姐姐，已经回不到过去的样子了……+但是……如果能让布洛妮娅姐姐重新喜欢上希儿，希儿无论做什么都可以！
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:希儿……+那样，你的精神会更加不稳定的，然后会再次消失。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:是啊……+对于现在的希儿来说，【永远】就是很短暂的事情啊……+所以布洛妮娅姐姐……不能再多陪希儿一会儿吗？还是……
Bronya(0);Seele(2)<Speaker></Speaker>||:……希儿握住布洛妮娅的手。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:想让希儿现在就消失呢……+再一次……永永远远的……
Bronya(0)<Speaker></Speaker>;Seele(2)||:……布洛妮娅松开了希儿的手。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:布洛妮娅不想再伤害别人了。+而且，大家会来找布洛妮娅的。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:那就不是布洛妮娅姐姐要担心的事情了。+希儿会保护好布洛妮娅姐姐的。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:希儿，不应该伤害她们。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:抱歉了，布洛妮娅姐姐。+希儿想要的东西，只能通过伤害别人来获得了。
Bronya(0);Seele(2)||:
()||<SE1>Gunfight</SE1><黑屏1>:……这时，游乐园外传来了战斗的枪声。
希儿()<Speaker>希儿</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:请再安心睡一会儿吧。+下次醒来时，这个世界，就只属于希儿和布洛妮娅姐姐了。
()||<BIN>10</BIN><黑点2>:
