()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:......
G11(0);NPC-Deele(0)<Speaker>데레</Speaker>||:글쎄. 지금 45가 살아있다는 것 말고는, 아무 것도 보장할 수 없어...
HK416(0)<Speaker>HK416</Speaker>;NPC-Deele(0)||:우릴 지원해준 제대는 다들 지쳐서, 현재 위치에서 대기 중이야.+급한 불은 껐지만, 좋은 소식은 아니야. 철혈의 추격이 언제 다시 시작될지 모르는데, 우리는 지금 고립된 상황이니까.
G11(0)<Speaker>G11</Speaker>;NPC-Deele(0)||:지휘자가 없다면, 우리가 각자 알아서 싸우는 수밖에 없어. 어떻게 해서든 방법을 찾아야 해.
G11(0);NPC-Seele(0)<Speaker>제레</Speaker><通讯框>||:방법이 없는 건 아니에요... 그러니까...+마인드맵 손상은 의식 레벨 2단계에서 수복이 가능하다 보니 보통은 정비실에서 수리해야 하는데...
HK416(0)<Speaker>HK416</Speaker>;NPC-Seele(0)||:내가 한 번 맞춰볼까? 여기에 정비실은 없지만...+철혈이 언제든지 우릴 습격할 위험을 무릅쓰고, 이 자리에서 계속 연결하라는 거지?
HK416(0);UMP9(2)<Speaker>UMP9</Speaker><通讯框>||:45 언니의 지휘가 없다면 우리는 철혈의 포위망을 뚫을 수 없어. 이러나저러나 죽는 건 마찬가지야.
G11(0)<Speaker>G11</Speaker>;UMP9(2)||:그럼... 어떻게 해야 깨울 수 있는 건데?
G11(0);NPC-Deele(0)<Speaker>데레</Speaker><通讯框>||:먼저 의식 레벨 2단계에 진입해서, 45의 마인드맵이 지금 어떠한 상태인지 확인부터 해야 해. 그래야 어떻게 수리해야 할지 판단할 수 있어.+이건 너희들의 도움이 필요해. 다들 부탁해!
G11(0);UMP9(2)<Speaker>UMP9</Speaker><通讯框>||:우리가 출발하기 전에 연습했던 것들...+......아직 기억하지?
HK416(0)<Speaker>HK416</Speaker>;UMP9(2)||:쳇... 거기로 들어가기는 정말 싫은데.
G11(0)<Speaker>G11</Speaker>;UMP9(2)||:어, 우리 416이 언제부터 이렇게 말이 많아졌대.+...점점 나를 닮아가는 거 같은데?
HK416(0)<Speaker>HK416</Speaker>;UMP9(2)||:닥쳐.
UMP9(0)<Speaker>UMP9</Speaker>||<黑屏1>:자 자, 그만 떠들고 바로 시작하자!+빨리 언니를 데리고 나와서, 모두 함께 집에 돌아가는 거야!
