()||<BIN>99</BIN><BGM>BGM_Sneak</BGM><黑屏2>:......
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>||:그래, 생각한 것보다 좀 일찍 왔네.+모두 다 모였어?
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:다 집합했습니다, 다음 명령을 기다리고 있습니다.
M4A1Mod(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:좋아, 그럼 다음 단계로 넘어갈 때가 됐군.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:우릴 사지로 보내기 전에, 이 안에 든 게 뭔지 말해줄래?
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:어디 보자.+영상으로 봐선, 패킹 링으로 쓰이는 편광장치 같네.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:그래서, 안에 든 건 뭔데?
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:식별 가능한 붕괴액, 그 영감 잘도 이런 걸 하늘에서 떨굴 줄이야... 그것도 5개씩이나.+다만 하나하나의 용량이 그렇게 크지는 않아...+이 정도라면 발생할 오염구역도 크진 않을 거야…
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Ange(0)||:붕괴액이라면, 설마 그 세계대전을 일으킨...
UMP9(2);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:설마 인형이 역사를 배울 줄이야, 칭찬해야겠는걸.
UMP9(3)<Speaker>UMP9</Speaker>;NPC-Ange(0)||:헤헤헤...
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:그 붕괴액 모두 원격 폭약하고 조합해놨어, 아마 당신도 저걸로 오물탄을 만들 셈이겠지?+저게 폭발했을 때, 인형보다 인간에게 영향이 더 큰 거 맞지?
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:붕괴 방사선, 인간은 방사 오염 구역에 들어갈 수 없어서, 인형을 개발하게 된 거야, 이 또한 역사의 일부지.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:그러니 우리만 죽는 건 아니란 거네.
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:내 입으로 말하긴 이상하지만, 가장 죽을 확률이 높은 건 나야, 뭐라 해도 인형에게 있어 죽음은 아주 머나먼 개념이니까.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:머나먼 개념이라...+그 말은 쉽게 인정해줄 수 없겠는걸.
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:하긴 넌 보통 인형과 경력이 꽤 다르니까.+잡담은 여기까지, 설치할 좌표는 보냈어. 설치가 끝나면 설치 지점에서 되도록 떨어지도록.+아무리 인형이 붕괴 방사선의 영향을 잘 받지 않는다 해도, 폭발 시 발생하는 초고열은 군용장갑마저 순식간에 녹여버릴 테니까.
AR15Mod(0)<Speaker>AR15</Speaker>;NPC-Ange(0)||:군 상대로든 철혈 상대로든 최적의 무기로군.
AR15Mod(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:맞아, 다만 되도록이면 우리 모두가 영향 범위를 벗어난 다음에 쓰길 바라.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:철수 조건에 엘더브레인의 포획을 넣어야 하지 않을까?
UMP45(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||:포획하거나 모든 적을 섬멸한다.
UMP45(0)<Speaker>UMP45</Speaker>||:그럼 모두 들었지. 어떻게 해야 할지는 다 알고 있겠지?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:2인 1조로 행동하는 게 효율적입니다, 제가 2개 맡죠.
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:좋아, 9과 내가 한 팀, 416과 G11 한팀. 자자 어서 시작하자~
