()||<BIN>79</BIN><BGM>BGM_Room</BGM>:............군의 연회가 한창 무르익어가고 있을 무렵.
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:만약 자네들이 원하는 게 철혈을 없애버리는 거라면, 이런 연합 훈련 따위는 전부 부질없는 짓이라는 거지.+아, 내가 너무 직설적으로 말하는 걸 부디 이해해주었으면 하네. 내 말은 철혈에게 열심히 대처한다면, 크루거 씨 혼자만으로도 충분히 해결할 수 있다는 말일세. 그렇지 않은가?+그렇다는 건 이 일은 누군가가 심심한 나머지 일을 벌이고 있거나, 아니면 애초부터 철혈을 상대한다는 것 자체가 누군가가 원하는 결과가 아니란 말이겠지.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:......
()||:............카터는 크루거를 쳐다보았다.
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Havel(0)||:이번 그리폰과의 협력은 이후의 더 나은 연합 작전을 펼치기 위해서라네. 하벨, 그 이상 멋대로 입을 놀렸다간 난 국가 안보를 위협했다는 죄목으로 자네를 체포할 수밖에 없어.
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:자네는 아직도 남을 위협하기 좋아하는 그 나쁜 버릇을 고치지 못한 건가. 자네 같은 일개 보급 담당이 날 어찌할 수 있다고 생각하나? 나 같은 사람을 잡으려면 안전국의 사람 정도는 있어야 하지 않겠나.+이래 봬도 난 자네들을 전적으로 지지하고 있네. 이렇게나 많은 주문이 들어왔는데, 내가 어찌 기쁘지 아니할 수 있겠나?
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Havel(0)||:......
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:알겠네, 알겠어. 여기까지 하도록 하고, 힘들게 온 만큼 아래층에서 거물 미디어들과 친분이라도 쌓아야겠군. 내가 있으면 자네들이 편하게 밥을 먹지도 못할 것 같으니.+그럼, 난 이만 여기서 떠나도록 함세.
NPC-Carter(0);NPC-Yegor(0)<Speaker></Speaker>||:......예고르 대위는 즉시 하벨을 가로막아 섰다.
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Yegor(0)||:대위, 그냥 보내주게나. 난 이 아름다운 연회 자리를 망치고 싶지 않아.
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<黑屏1>:정말로 훌륭하군그래. 지금 같은 시대에 자네처럼 말 잘 듣는 젊은 사람은 흔치 않지.+좀 더 오래 살아남아서 다음에도 볼 수 있으면 좋겠구만.
()||<黑屏2>:............하벨이 자리를 떠났다.
NPC-Kyruger(0)<Speaker>크루거</Speaker>||:너무 신경 쓰지 말게. 지휘관, 저건 그냥 괴팍한 늙은이일 뿐일세.+그래도 저자가 제공하는 상품은 전부 믿을만하네, 저 사람이 하는 허튼 말들만 신경 쓰지 않는다면 말일세.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:리코를 데려갔던 일 때문에 아직도 자네를 싫어하는가 보군.+저자의 식견으로는 애초부터 이해할 수 없었겠지...... 우리가 시도한 것들이 미래의 기술을 위해 얼마나 많은 초석을 쌓아왔는지 말이야.+결실이라는 과실의 단맛을 볼 때쯤이면 저자도 우리에게 고마워할 걸세, 크루거.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:알고 있습니다. 이미 지나간 일을 들춰봤자 아무런 의미도 없습니다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:그럼 다행이군. 그럼 이제 본론으로 들어가 보도록 하지. 앞으로의 작전에 대해 대략적인 방향을 잡아보도록 하세.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||<黑屏1>:알겠습니다, 저희도 정말 기대하고 있습니다.
크루거()<Speaker>크루거</Speaker>||<BIN>9</BIN><黑屏1><黑屏2>:철혈을 없애는 게 원하는 결과가 아니라니......+그건 도대체 무슨 뜻입니까, 하벨 씨......
