()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:............2시간 후.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:아마 신형 지휘 인형이라서 그랬었나 봐. 너도 알다시피 원래 우리는 엘리트 부대로 들어온 줄 알았는데 말이야, 막상 들어와 보니 리더가 못 미더운 녀석이라는 걸 알게 된 거야.+그리고 AR15는...... 너도 걔가 결과에 엄청 집착하는 녀석이라는 건 알고 있지? 나중에는 AR15의 얼굴에서 짜증이란 단어가 눈에 보일 정도로 철철 넘쳐흘렀다니까.+M4가 그때 엄청 무서워해서, M16한테 어떻게 해야 할지 물어봤었는데 말야, 아, 그때는 M4가 M16이랑만 얘기할 수 있었어.+그때 M16이 M4에게 AR15를 너무 신경 쓰지 말라고, 그러다 더 크고 더 많은 실수를 저질러서 더 많은 동료에게 미움을 살 거라고 말해줬어.+그 말을 들은 M4가 돌연 조용해지더니, M16에게 안 되겠다고, 이런 식으로는 아무것도 해결할 수 없다고 말하더라구.+그러더니 AR15한테 달려가서는, 일부러 그런 건 아니었다고, 정말로 죄송하다고 사과하는 거야. 결국, AR15가 한 눈으로 흘겨보더니, "정말로 M16이 말하는 건 잘 듣는구나" 라고 말하고선 휙 하고 가버렸어.+그 때, M4은 엄청 겁먹고 M16한테 또 해명을 하려고 뒤에 M16이 있는지도 모르고 몸을 냅다 돌렸단 말이야? 결국 두 사람이 쿵 하고 엄청 세게 부딪혔단 말이지.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>75</BIN>:설상가상으로 M4의 개머리판이 M16의 배를 때렸다는 거야!
RO635()<Speaker>RO635</Speaker>||:아......그건 좀 많이 아팠겠는걸.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:그렇겠지, M16이 그런 표정 지은 건 아무도 본 적 없을걸?+그러더니 M16이 이를 꽉 물고서는 "봐봐, 넌 지금 나한테 더 큰 실수를 저질렀잖아."라고 가까스로 말했어.
RO635()<Speaker>RO635</Speaker>||:하하하, 그래서 그때 작전은 끝낼 수 있었어?
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:가까스로 어떻게든 끝낼 수 있었어. 단지 마지막에 조금...... 여기가 가장 중요한 부분인데, 잘 들어봐!
RO635()<Speaker>RO635</Speaker>||:무슨 일이 있었길래?
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:M4가 엄청나게 놀랄만한 행동을 한 거야! 그것 때문에 전부 다 울었다니까!
RO635()<Speaker>RO635</Speaker>||:전부 다? 무슨 감동 받을 일이라도 한 거야?
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:그게 말이야...... M4가 최루탄 하나를 던졌어.+우리가 마지막 목표는 완전히 부쉈어야 했는데, M4가 너무 긴장하는 바람에 그만......+우리가 동시에 사격해야 할 때 그만 그걸 실수로 던져버리고 만 거야. 게다가 각도 계산까지 잘못하는 바람에...... 결국 우리한테 되돌아왔단 말이지.
RO635()<Speaker>RO635</Speaker>||:잠깐만...... 인형이라면 그런 계산은 틀릴 수 없을 텐데.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:그래서 우리 전부 망했었지. 전부 다 최루 가스 안에서 울고 난리도 아니었다니까.+AR15가 눈물을 흘리면서 M4를 때리러 갔어. 농담이 아니라 진짜로 때리러 갔어......+근데 걔도 앞이 잘 안보이니까 계속 주먹질만 하면서 "M4! 이 멍청한 년이!"라면서 계속 소리를 질러댔단 말이야.+"제기랄! 이 구제 불능에 대가리에는 똥만 차 있는 답도 없는 년! 내가 네 녀석의 멱살을 잡고 친히 마인드맵을 물리적으로 소독해주도록 해줄 테니까 말이야! 나한테 잡히기만 해 봐! 나한테 잡히기만 해보라고!!"+그래서 M16이 "너무 그렇게 화내지는 마, AR15. 최소한 우리는 목표를 처리했고, 게다가 M4의 옷에는 애초에 옷깃이 없어. 넌 인간 여자들이 싸우는 것처럼 머리채를 쥐어 잡아 뜯을 수밖에 없단 말이야."라고 말해줬어.
RO635()<Speaker>RO635</Speaker>||:아하하핫, 나도 이전에 있던 소대에서 여러 번 봤었어. 식량 한 상자나 식수 두 상자를 가지고......+그럼 M16도 운 거야?
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:당연하지. 사실 그렇게 자세하게까지 보진 못했는데, 아마 M16이 그렇게 심하게 운 건 그때가 유일할 거야.+그도 그럴 게 그때 나도 울면서 웃고 있었거든...... 그래, 엄청나게 웃기지 않아?+다들 훈련하기 전에는 그렇게나 진지했었는데, 마지막에는 결국 다 같이 시원하게 울어 재꼈으니까 말이야. 난 그제야 걔들이 나랑 똑같다는 걸 느꼈어.
RO635()<Speaker>RO635</Speaker>||:그럼 M4는? 울면서 뭔가를 했었어?
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:아니! 아무것도 못 했어!+걔는 진짜로 울음을 터뜨린 데다가, 엄청나게 큰 소리로 울어대면서 끊임없이 "전부, 전부 다 내 잘못이야! 미안해!"라고 말하는데.+그렇게 무슨 괴롭힘 당한 어린애처럼 우는 건 영화에서 말고 처음 봤다니까. 지금 생각해봐도 어떻게 그렇게 똑같이 따라 할 수 있었는지 모르겠단 말이지!+뭐, 결국 우리 리더가 그렇게 엉망진창인 녀석이란 걸 확인하고 나니까 정말로 내가 다 부끄럽더라구. 진짜 완전 개 쪽팔렸었다니까!! 푸하하하하! 진짜 다시 한번 보고 싶은 명장면이었는데 말이야!
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>76</BIN>:하......+아아.....+이제...... 다시는 돌아오지 않을 나날들이겠지만......
RO635()<Speaker>RO635</Speaker>||:SOPII......+희망은 아직 있어, M16이 우리를 기다리고 있을 거야. 그리고 AR15도...... 아직 많은 것들이 불확실하잖아?+우리가 살아있기만 한다면 반드시 무슨 방도가 생길 테니까.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:응...... RO, 넌 어째서 우리에게 감정 모듈이 설치됐다고 생각해?
RO635()<Speaker>RO635</Speaker>||:글쎄......
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:예전에 한 번 M16에게 물어본 적이 있었어. M16은 그게 우리가 단순히 살육을 위한 기계가 아니라는 걸 증명한다고 했어.+우리는 감정을 가졌어. 그러니 저런 아무런 감정도 없는 군용 인형들과는 달라......+하지만 감정은 우리의 약점이라고, 감정이 있기에 결함품이라고 말하는 사람들도 있어......+네 생각은 어때? 인형이 감정을 지니는 게...... 결함품이라는 의미라고 생각해?
RO635()<Speaker>RO635</Speaker>||:난 잘 모르겠어......+하지만 감정 모듈은 인간들이 우리에게 부여해준 거야. 그 누구도 자신의 상품에 일부러 결함품이라는 딱지를 달고 싶어 하지는 않잖아?+그러니...... 분명히 어떤 의미가 있을 거야.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:이러는 편이 재미있어서일까? 그들은 그다지 우리를 신경 쓰지 않는 건 아닐까?
RO635()<Speaker>RO635</Speaker>||:후후후, 만약 정말로 우리를 신경 쓰지 않는다면 말이야, 우리는 자유의 몸인 거네. 그치?+목적도 없고, 질서도 없지. 마카로프가 어느 날 야간 전투에서 돌아오더니 나에게 그런 말을 하더라고.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:이야...... RO, 그거...... 흥미롭게 들리는걸.+최소한 난 감정 모듈을 받았다는 것에 대해서 후회하지 않아. 감정 모듈이 있기에 AR15와 M16을 기억할 수 있고, 다시 만나기 위해 힘낼 수 있는걸.
RO635()<Speaker>RO635</Speaker>||<黑屏1>:맞아......+다만...... 지금 환경에서 감정은 아무 소용 없어, 지금은 우리가 살아남아야 할 때야.
RO635()<Speaker>RO635</Speaker>||<BIN>9</BIN><黑屏1>:반드시...... 살아남아주겠어.
