()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Empty</BGM><黑屏2>:안젤리아는 엄폐물 사이로 숨었다. 이때 갑자기 통신이 들어왔다.
NPC-Persica(1)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>안젤리아! 지금 괜찮아? 한참 응답이 없어서 네가 이미...</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Persica(1)||<BGM>BGM_Room</BGM>:콜록... 그렇게 손쉽게 네 생각대로 되지는 않아...
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>하벨</Speaker><通讯框>||:<color=#00CCFF>안젤리아, 무사할 줄 알았네...</color>+<color=#00CCFF>흥, 물론 거짓말이지, 분명 죽어버릴 줄 알았는데, 아직도 살아남아 있다니. 두 번이나 나를 놀라게 하는군.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||:생각하시는 대로 죽지 못해 죄송하군요. 정보 공유를 하죠, 전 지금 아직 오염구역에 있습니다. 리벨리온과 통신이 되지 않고요.+만약 그들이 임무을 달성하지 못했다면, 예비 방안의 예비 방안을 준비해야 합니다...+제가 죽든 말든 관심 없으시겠지만. 하벨 씨, 그래도 일단 물어보죠, 지원을 제공해주실 수 있으십니까? 뭐든지 좋으니까.
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>나도 안전국의 권한을 넘어 협력해줄 수는 없다네. 다시 자네 국장에게 말해보는 게 어떤가?</color>
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:농담 마십시오!+이미 그 오염탄까지 터뜨린 상황에서 무슨 권한을 못 넘는단 말입니까!?
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>진정하게 젊은이, 너무 흥분했다간 감염속도가 빨라질 걸세.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:... 제가 감염된 것을 알고 계시는 겁니까?
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>붕괴액 폭탄이 터진 일정 범위 안에 있으면 분명 광역성 저복사 감염의 영향을 받고 말지. 살아남을 수 있을지는 자네 저항체질에 달렸네, 다만 지금 자네 상태를 보아하니 체질이 꽤 괜찮은 모양이군.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:그것 참 과한 칭찬이군요...
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>성급해 하지 마, 안젤리아. 하벨 씨도 지금 전까지 계속 지원을 조달하고 있었어, 끝까지 들어봐.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Persica(3)||:알겠어... 케엑... 일단 들어보지...
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>하벨</Speaker><通讯框>||:<color=#00CCFF>미안하군, 본론을 말하지. 자네 국장 젤린스키와 연락을 해보겠네.</color>+<color=#00CCFF>하지만 자네도 예상하다시피, 그 양반들이 직접 지원을 보낼 가능성은 거의 없다네. 자네도 아니까 그에게 연락하지 않은 게 아닌가?</color>
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:확실히 기대할 수 없죠, 특히 오염탄을 터뜨린 이상 국장님과는 이미 적대관계가 됐습니다...
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>적어도 우리를 방해하지 못하게 해보겠네. 그런고로 나와 페르시카가 이미 자네에게 해결책을 찾는 중일세.</color>+<color=#00CCFF>남한테 기대기 보단, 먼저 스스로 생각해 보게. 자네가 설명하게나, 페르시카.</color>
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>미안 안젤리아, 저번에 네가 인형의 무장으론 군을 상대할 수 없다고 할 때부터...</color>+<color=#00CCFF>이전에 그리폰의 지휘관이 한 철혈 보스를 포획한 일 기억해?</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Persica(3)||:그러니까... 그... "아키텍트"라는 인형 말이야?
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>하벨</Speaker><通讯框>||:<color=#00CCFF>기억력도 좋군, 녀석은 참 괜찮은 기술 샘플이지, 그리고 협력도 잘하고 있고 말이야.</color>+<color=#00CCFF>페르시카가 녀석과 그 무기에서 여러 데이터를 추출해서, 새 물건을 몇 개 만들었지.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:적의 소체로 무기를 개발했단 말입니까?
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>녀석에게 고맙다는 말은 안 했네.</color>+<color=#00CCFF>페르시카는 이전부터 녀석을 이용해 상응한 연구를 했었네. 이론상 인형에게 일부 중화기를 장착시킬 수 있게 됐지.</color>+<color=#00CCFF>강력하지만, 개발 비용도 물론 엄청나지, 여러 인형이 서로 협력해서 복잡한 무기를 다루게 하는 AI는 결코 값싸지 않아.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:중화기를 운용한다고요? 그건 이미 PMC의 무기 조약을 위반한 거 아닙니까?
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:<color=#00CCFF>비싸고, 위험하고, 불법이지. 이렇게 내다 팔지도 못할 물건은 투자자인 내가 페르시카가 연구하지 못하도록 막았어야 마땅했겠지.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||:하지만 당신은 꼭 그런 위험한 물건을 좋아하시죠...
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:<color=#00CCFF>"자극적이지 못하면 값어치도 없다!" 내가 이런 성격이라 다행이라고 생각하게나. 내 이런 성격 때문에 네가 살아남을지도 모르니 말일세.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||:케윽, 진짜 눈물이 날 정도군요...+다만 한가지 오산을 하셨군요, 하벨 씨. 제가 여길 벗어날 가능성은 거의 없습니다.+당신이 지원해야 할 상대는 그리폰의 지휘관입니다. 그 비싸고 위험하고 불법인 물건을 그에게 넘기세요, 그러면 그리폰만이라도 포위를 뚫을 수 있을지 모르니...
NPC-AngeDamage(0);NPC-Persica(1)<Speaker>페르시카</Speaker><通讯框>||: <color=#00CCFF>무슨 말이야? 지금 가장 도움이 필요한 건 너잖아!</color>
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>;NPC-Persica(1)||:내가? 인제 와서 내가 뭘 할 수 있겠어? 지금 오염지대 한가운데에서 겨우 숨만 붙어 있지. 엘더브레인을 잡으러 갈 수도 없고, 군에게 대항할 인형도 없고...+그 무슨 중화기를 보내와봤자 저복사감염자를 상대하는 정도지 의미도 없어... 하벨 씨도 이런 보답 없는 곳에 투자하시지는 않으시겠죠?
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>하벨</Speaker><通讯框>||:<color=#00CCFF>...</color>
NPC-AngeDamage(2);NPC-Persica(3)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>그래도...</color>
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>;NPC-Persica(3)||:사실대로 말한 거야. 난 언제나 결과만을 보고 계획을 짜니까.
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>하벨</Speaker><通讯框>||:<color=#00CCFF>정말로 그럴 겐가? 정말 네 목숨으로 교환할 정도로 그 지휘관을 구할 가치가 있다고 생각하는 겐가?</color>
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:교환이 아니라 취사선택입니다... 그리고 저도 아직 자포자기할 생각은 없습니다...+그저 지금 제 상태로는 지휘를 하기가 힘듭니다. 차라리 그 지휘관에게 맡기는 게 더 승산이 있다고 봅니다.+그리고 그 지휘관은 군을 상대할 때 이미 자신의 능력을 충분히 증명했습니다. 리벨리온에게 도움이 필요하다고 말하면 분명 내버려두지 않겠죠...+설령 임무에 실패해도... 그리폰만큼은 유지할 수 있을 겁니다.
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>그리폰을 위해서라, 나도 감동해야 할까?</color>
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:저도 한 때 신세를 졌던 곳입니다, 아주 마음에 드는 곳이죠...+서두르세요, 더 이상 머뭇거리면 그리폰마저 구할 수 없게됩니다.
NPC-AngeDamage(2);NPC-Havel(1)<Speaker></Speaker>||:통신기 너머로 하벨의 긴 한숨 소리가 들려온다.
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>난 자네를 포기하지 않을 걸세. 하지만 자네의 결정도 이해하네.</color>+<color=#00CCFF>어느 지휘관을 말하는 건지는 알지만, 어디 있는지는 모르네.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:그리폰이 아직 이동하지 않았다면 지휘관은 지금 임시지휘부에 있을 겁니다.+거긴 폭심지와 어느 정도 거리가 있으니 그리폰 부대에 생존한 인형과 직원이 있을 겁니다. 화력 지원 말고도, 그들이 철수할 수 있도록 도와주시길 바랍니다...
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>그렇게 말해도 지금 위성통신이 가능한 자네를 빼고 지휘관과 연결할 방법이 없다네.</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Havel(1)||:어디 통신소를 찾아서 채널을 열어보죠... 과연 해낼 수 있을지는 모르지만...
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>하벨</Speaker>||:<color=#00CCFF>그럼 서두르게, 어쩌면 자네의 감염도 치료할 수 있을지 모르니 말일세.</color>+<color=#00CCFF>난 잠깐 수송기 통행 권한을 조율하러 가지, 그때까지 살아있기를 바라지.</color>
NPC-AngeDamage(0)<Speaker></Speaker>||:하벨이 자리를 비웠다.
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>지금 그리폰의 위치를 알고 있다면, 그들이 통제 중인 구역까지 이동해서...</color>
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;NPC-Persica(3)||:알아, 마지막 기회지. 일단 내 말대로 해... 가능한 그쪽으로 이동할 테니까.+지금 감염자가 이쪽으로 오고 있어, 나도 움직여야 하니까, 나중에 보자.
NPC-Persica(3)<Speaker>페르시카</Speaker>||:<color=#00CCFF>기다려줘, 안젤리아. 우리가 최선을...</color>
()<Speaker></Speaker>||:안젤리아가 통신을 끊었다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:지금 내 얼굴을 보면 너도 헛수고라는 걸 알겠지.+물론, 얼마 안 있어 이 면상마저 사라질 수도 있고...
NPC-AngeDamage(2)<Speaker></Speaker>||:안젤리아는 벽에 기대 한숨을 쉬었다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:아 귀찮아... 한 발짝도 움직이기 싫어...
()<Speaker></Speaker>||:... 발소리와 울음소리가 점점 다가온다.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<黑屏1>:칫, 들키고 말았나...+어차피 오래 못 살겠지만... 여기서 죽기엔 너무 꼴불견이니까.+좀 더 움직여보자고, 안젤리아...
()<Speaker></Speaker>||<BIN>157</BIN><黑点2><BGM>BGM_Empty</BGM>:안젤리아는 다른 엄폐물로 자리를 옮기지만 괴물들의 울부짖는 소리는 멀어지지 않았다.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<BGM>BGM_Sad</BGM>:더 이상 체력이 없어...+이제 몸도 버티지 못하는 걸까...
()<Speaker>？？</Speaker>||<震屏>:으어어어어--
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||:어디지...+점점 가까워지고 있어...+대체 어디지!
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker><Shake>||:...!!+뒤구나!
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2>:안젤리아는 뒤돌아 권총으로 그 괴물을 쏘아 맞혔다!+하지만.
()<Speaker>？？</Speaker>||<震屏>:끄아아아악!!!
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||:안 죽었나?+과연!
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:E！
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:L！
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:I！
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:D！
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:감염자구나!
()<Speaker></Speaker>||:...
()<Speaker></Speaker>||<震屏>:... 괴물이 쓰러졌다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:허억...!+흐읍...!+콜록...+그래도... 죽일 순 있긴 하네.
()<Speaker>감염자</Speaker>||<震屏>:크아아아아아!!!
()<Speaker></Speaker>||:더 많은 감염자가 엄폐 밖에서 기어 나왔다.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||:총소리에 끌려온 건가?
()<Speaker></Speaker>||:안젤리아가 방아쇠를 당기지만 총알이 바닥났다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:이럴 줄 알았어...
()<Speaker></Speaker>||:안젤리아는 무기를 땅에 버리고, 양팔을 벌렸다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:여기까지군, 보는 사람이 없었으면 좋겠네.
()<Speaker>감염자</Speaker>||<震屏>:끄아아아악!!!
()<Speaker>？？</Speaker>||<BGM>BGM_Empty</BGM>:어머... 벌써 유언까지 정했나요?
()<Speaker>？？</Speaker>||:죄송합니다, 너무 일찍 온 겁니까?
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||<黑屏1><CGDelay>0.4</CGDelay>:너희들...
()<Speaker>안젤리아</Speaker>||<BIN>9</BIN><黑屏2>:아직 내가 창피할 기운이 있는 동안 정리해놔.
()<Speaker></Speaker>||<SE2>Gunfight</SE2><黑屏1>:...
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Sneak</BGM><黑屏2>:...
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:내가 있는 곳을 어떻게 찾았냐...
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:그쪽에서 계속 불렀잖아? 통신은 안 통해도, 위치를 추적할 수는 있었어.+얼마 못 움직일 거라 생각했는데, 생각보다 쌩쌩하네. 그 때문에 이것들을 상대하면서 쫓아왔잖아.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AK12(0)||:쯧, 움직이기 귀찮았던 감이 옳았네.
AK12(0)<Speaker>AK12</Speaker>||:설마 정말로 존재할 줄이야. 이전엔 쓸데없는 훈련이라 생각했는데.
AK12(0)<Speaker></Speaker>||:AK12이 한 감염자의 시체를 발로 굴렸다.
AK12(0)<Speaker>AK12</Speaker>||:뭐, 그래봤자 징그럽고 쓸모없는 괴물일 뿐이네.
AN94(0)<Speaker>AN94</Speaker>||:이것이 광역성 저복사 감염자...
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:통칭 ELID라고 하지, 너희들은 처음보지? 확실히 3차 대전 이후 보기 드물어진 물건이지.+저항능력이 낮은 일반인은 피폭되는 순간 즉사하지만, 체질이 좋은 사람은 감염이 심해지면서 이런 몰골로 변이하지. 육체가 규소화되고, 이성을 상실하고, 진정으로 죽을 때까지 공격성만 남게 되지.+아직 그게 터진 지 얼마 안 될 걸 다행히 어겨라. 오염구역에 오래 있을수록, 저 인간들은 점점 끔찍해지니까.
AK12(0)<Speaker>AK12</Speaker>||:저 감염자들, M4A1이 터뜨린 붕괴액 오염탄에 휘말린 군의 병사야?
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:맞아, 아직 오래 지나지 않아서 폭심지 주변에 있는 사람만 변이했지.+다만 점점 오염이 퍼지고 있어, 여기서 벗어나지 못한 사람들도 저들의 동료가 될 거야...+... 나라던가.
AN94(0)<Speaker>AN94</Speaker>||:아직은 아니다. 지금 간단하게 치료를 할 테니 견뎌내야 한다.
AK12(0)<Speaker></Speaker>||:AK12가 바닥의 권총을 집었다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AK12(0)||:그거 이제 총알 없어.
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:적어도 어느 좀비가 당신인지는 알아야지.
NPC-AngeDamage(0)<Speaker></Speaker>||:안젤리아는 아픔을 참으며 웃고, 무기를 받았다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:큭... 총으로 신분을 구별하다니 너무 비효율적인데.
NPC-AngeDamage(0);AN94(0)<Speaker>AN94</Speaker>||:가만히 있어라, 안젤리아, 아직 소독 중이다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AN94(0)||:쓸모 없어, 크흑... 붕괴피폭 증상이야... 피부 표면이 썩어 문드러지고 규소화되지. 소독해봤자 도움이 안 돼...+신체의 근육과 혈관도 점점 굳어져가고... 너희같은 인형들은 상상도 하지 못할 고통이야...+너희가 올 때까지 버틴 것만으로도 기적이지. 너흰 분명 M4A1을 따라간 줄...
NPC-AngeDamage(0);AN94(0)<Speaker>AN94</Speaker>||:M4A1은 엘더브레인을 쫓아 군의 대륙간열차에 올라 탔다.
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:AR15도 따라갔어, 우리는 말릴 수 없었고.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>;AK12(0)||:그럼 너희도 따라갔어야지, 그게 너희 임무잖아.
NPC-AngeDamage(3);AN94(0)<Speaker>AN94</Speaker>||:그때 우리는 M4A1이 열차를 따라잡을 수 있도록 엄호하고 있었다. 열차는 이미 떠났고, 우리가 할 수 있는 건 없었다.+우리는 임무를 완수하였고, 지금 중요한 건 당신이다.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>;AN94(0)||:나 말야? 그냥 날 버리고 가는 편이 좋아, 통신기를 가지고 페르시카와 연결해. 녀석 말에 따라서 철수하고.
NPC-AngeDamage(3);AK12(4)<Speaker>AK12</Speaker>||:포기할 셈이야? 언제부터 그렇게 비관적이 됐어?
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>;AK12(4)||:한 손으로 날 부축하면서 다른 한 손으로 적을 맞출 자신 있어?+이 좀비 영화 엑스트라 말고도, 군까지 상대해야 해. 겨우 폭탄 하나로 무너질 놈들이 아니야.+그리고 예고르가 아직 살아있다면, 놈에게 남은 목적은 단 하나, 바로 보복하는 거야. 더 직설적으로 말해서, 우릴 해치우러 올 거야.
NPC-AngeDamage(3);AN94(0)<Speaker>AN94</Speaker>||:그럼 빨리 이곳을 벗어나 철수하자.+어쩌면 도중에 재가동해서 쓸만한 그리폰 더미인형을 찾을 수도 있다. 아직 끝은 아니다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:오염구역의 모든 신호는 심각하게 교란을 받고 있고, 통신과 위치추적 설비도 고장 났지. 나도 어느 쪽으로 가야 할지는 몰라.+그냥 이걸로 됐다... 이젠 지쳤어... 좀 자게 내버려줘...
AK12(3)<Speaker>AK12</Speaker>||:안젤리아!
()<Speaker></Speaker>||<震屏>:찰싹!+AK12가 안젤리아의 따뀌를 강하게 때렸다.
AK12(3)<Speaker>AK12</Speaker>||:방금 우리보고 위성통신기를 가지고 페르시카와 연결하라고 했지, 그 말은 이미 생각해둔 계획이 있다는 거잖아. 이 오염구역을 벗어나면 철수할 수 있다는 말이지?
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:...
AK12(3)<Speaker>AK12</Speaker>||:지금 괴로운 건 나도 알아, 하지만 이대로 포기하는 건 전혀 당신답지 않아.+돌아가면 한턱 쏜다고 했잖아. 그렇게까지 편해지고 싶다면 내가 도와줄게, 이러는 편이 좀 더 편하게 죽을 수 있을 테니.
()<Speaker></Speaker>||<SE1>Select</SE1>:AK12가 안젤리아의 머리를 겨누었다.
AN94(2)<Speaker>AN94</Speaker>||:AK12... 안 돼!
()<Speaker></Speaker>||:공기마저 굳어버린 것처럼 수 초간 이대로 대치했다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker><Shake>||:흐... 흥...+흐하하하하...
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker><Shake>||:아야야야야...+아이 씨, 너무 크게 웃었네...
AK12(3)<Speaker></Speaker>||:AK12의 총을 쥔 손이 조금씩 떨렸다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:내 지령을 어기려는 것만 해도, 마인드 모듈이 과부하될 지경이지. 여기서 회로가 타버리면 누가 날 데리고 나가주냐?
NPC-AngeDamage(0);AK12(4)<Speaker>AK12</Speaker>||:아무래도, 허세를 부리는 것만으론 안 되겠구나.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AK12(4)||:피아식별의 지령은 내가 직접 입력한 거니까. 근데 설마 네가 진심으로 그럴 줄은 몰랐네.
NPC-AngeDamage(0);AK12(4)<Speaker>AK12</Speaker>||:"거역"이라는 게 바로 이런 거잖아? 당신의 이전 부하 인형들과 똑같이 보지 말라고.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AK12(4)||:흥... 알려주지 않았다면 그런 쓰잘데기 없는 일까지 잊을 뻔했네.+AN94, 치료는 됐으니까, 바로 움직이자.
NPC-AngeDamage(0);AN94(4)<Speaker>AN94</Speaker>||:아직 감염된 부분을 싸매지 못했다...
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AN94(4)||:됐어, 싸매봤자 별로 쓸모 없으니까, 그럴 시간에 움직여야지.
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:이전처럼 자신만만하게 작전 브리핑은 안 하는 거야?
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AK12(0)||:작전? 그냥 북쪽으로 쭉쭉 갈 수 있는 데까지 가는 거야.
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:왜 북쪽이야? 그리고 정말로 일직선으로 갈 생각이야? 지금 바깥엔 온통 감염자인데, 우회하며 이동하는 편이 낫지 않을까?
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>;AK12(0)||:지금 유일하게 안전지대가 있을만한 곳이 북쪽이야, 그리고 인간들은 초등학교부터 직선으로 가는 게 더 빠르다고 배우니까. 한번 해봐야지.
AK12(2)<Speaker>AK12</Speaker>||:시키는대로 하지 뭐. 94, 주변에 감염자가 한 20명 있으니까 전투준비해.+난 돌격하며 길을 청소할 테니까, 넌 안젤리아를 데리고 이동해, 계속 꼭 붙어 있어야 돼.
AN94(0)<Speaker>AN94</Speaker>||:알았다, 전력으로 호위하겠다.
AK12(2)<Speaker>AK12</Speaker>||<黑屏1>:그럼 움직이자!
()||<BIN>10</BIN><黑点2>:
