()||<BGM>BGM_Boss</BGM><BIN>15</BIN>:......그리폰의 어느 폐기된 지휘실, 철혈 디스트로이어의 마지막 은신처. 
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||<黑屏1>:물론, 적어도 이번엔 이렇게 넘어가는데......
드리머()<Speaker>드리머</Speaker>||<黑屏2><BGM>BGM_Empty</BGM><BIN>9</BIN>:한 번만 더 도청당하면 정말로 갖다 버릴거야. 알겠어? 
디스트로이어()<Speaker>디스트로이어</Speaker>||:도......도청?+?!......누구야?!언제?!
AR15()<Speaker>AR15</Speaker>||<黑屏1>:......
AR15(0)<Speaker>AR15</Speaker>||<BIN>3</BIN><黑屏2>:흥......+언제 날 발견한 거지? 드리머. 
BOSS-11(0)<Speaker>드리머</Speaker><通讯框>||:하늘을 손에 쥔 자가 모든 것을 가지리니, 난 지금 땅에서 기어다니는 쥐새끼 한마리 조차도 똑똑히 보인단다. 
AR15(0)<Speaker>AR15</Speaker>||:어쩐지......역시 통신을 차단하는 것 만으로는 부족한 것 같네. 
BOSS-11(0)<Speaker>드리머</Speaker>;AR15(0)||<BGM>BGM_Sad</BGM>:계속 이 기회를 기다리고 있었던 거지? 그리폰이 네 통신모듈을 차단하도록 하고, 아무도 모르게 우리들 사이에 침입하는 기회를 말이야. 
BOSS-11(0);AR15(0)<Speaker>AR15</Speaker>||:......보아하니 듣던 것 만큼 미쳐있는 것 같지는 않네. 
BOSS-11(0)<Speaker>드리머</Speaker>;AR15(0)||:어머......너도 자료에서 묘사한 것처럼 냉혹한 저기압같지는 않은걸.+그런데 어째서일까? 인형으로서 고용주를 거역하지 않은 대가는 도대체 뭘까? 
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:너희들은 날 이용해서 동료를 위험에 빠트릴 정보를 흘렸지......+철혈, 내가 그런 짓을 용서할 것이라고 생각했어?!
BOSS-11(0)<Speaker>드리머</Speaker>;AR15(2)||:흥분하지 말렴, 너도 진즉에 네가 정보의 누수원이란 걸 발견했잖아.+만약에 좀 더 일찍 모두에게 알렸으면 디스트로이어의 폭파 계획이 물거품이 됐을 수도 있었는 걸? 
디스트로이어()<Speaker>디스트로이어</Speaker>||:잠깐, 드리머, 무슨 말이야 너!+그 말은 내 작전이 그저 들러리였다는 소리잖아! 
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:......+어떻게 생각하든, 내가 지금 여기서 하려는건 그리폰의 명령과는 관계 없어. 
BOSS-11(0)<Speaker>드리머</Speaker>;AR15(2)||:응? 아직도 이해를 못한 것 같네.+우리가 널 뽑은게, 열등한 인간들이 소설 캐릭터의 생사를 결정하는 것마냥 대충 고른거라고 생각하는 거야?+아니......AR-15. 넌 선택된 거야.+아직 기억해? 우리가 너한테 하사해준 그 능력? 
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:......?!+설마, 이 모든 게......
BOSS-11(0)<Speaker>드리머</Speaker>;AR15(2)||:우후후, 그럼.+조금 더 발악해볼래, 그리폰의 AR-15?+그 마지막 발버둥이 일을 어떻게 만들지 한 번 보여주겠어? 
BOSS-11(0);AR15(0)<Speaker>AR15</Speaker>||<黑屏1>:......+원하는 대로 해주지, 드리머. 
AR15()<Speaker>AR15</Speaker>||<黑屏2><BIN>27</BIN>:......이 모든게 해결될 때 까지 발악해주겠어. 
드리머()<Speaker>드리머</Speaker>||:동료를 위해 그리폰을 등지다니, 아아, 이 깊디 깊은 사랑을 찬양이라도 해야 할까. 
AR15()<Speaker>AR15</Speaker>||<黑屏1>:그냥 인형으로서 받은 명령일 뿐이야.+AR팀의 팀원으로서......가장 우선되는 명령을.+설령 돌아갈 곳을 잃는다 해도, 절대로 날 처음으로 받아준 사람을 배반할 수는 없어.+그것이야말로 내 유일한 가치이자 유일한 운명.+철혈, 두고 보자고.+네년들의 얼굴을 짓밟은 채로, 그 음모들을 한 글자 한 글자씩 짜내 줄 테니!
