()||<BIN>22</BIN><BGM>BGM_Sunshine</BGM>:............작전 종료.
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker>||:마스터께서 자세하게 말씀해주시지 않으신 데다가, 저는 페르시카 씨를 잘 알지 못하니까요.+하지만 특별히 뭘 하실 필요는 없어요. 임무에 따라 필요하시다면 요정을 사용하시면 되고요. 어찌 됐든 보수를 주는 임무가 최우선이니까요.+요정의 사용 방법에 대해서는 45 씨의 마인드맵에 전부 기록해놓았으니, 궁금하신 게 있다면 언제든지 저에게 물어보세요.+마지막으로 물어볼게요. 45 씨는 요정이 마음에 안 드시나요?
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:아니. 너무 시끄럽게 굴지만 않으면, 상관없어.+그... 이 전술 요정이라는 거, 페르시카 혼자서 만든 게 아니지?
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker>||:그건 잘 모르겠어요. 신경 쓰이시나요?
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:그냥 조금 궁금해져서 말이야. 다들 곧잘 다른 사람의 과거를 궁금해하잖아. 안 그래?+내 과거, 페르시카의 과거, 그리고 너의...
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker>||:............+UMP45 씨...
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||<黑屏1>:농담이야. 룰이 뭔지는 알고 있어. 더 묻지 않을게.+이제 작전을 시작할 테니, 모두를 불러주겠어?
()||<BIN>34</BIN><黑屏2><BGM>BGM_Boss</BGM>:............같은 시각, 철혈의 지휘실.
BOSS-6(0)<Speaker>디스트로이어</Speaker>||:이봐! 드리머!+드리머! 내 말 듣고 있는 거야!?
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:어머... 또 무슨 일이니?
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:내가 곧 시작할 거라고 말했잖아?+...무인기 수색 작전 말야!+격추시키는 것도 쉽지 않았는데, 늑장 부리다가 그리폰 녀석들이 선수 치면 어쩌려고 그래?
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||<黑屏1>:그 무인기 말이구나...
드리머()<Speaker>드리머</Speaker>||<BIN>56</BIN><黑屏2>:후후... 그것도 그렇네.+우리 엘더브레인 님께서 회수하라는 명령을 내리지 않는 걸 보면, 그다지 중요한 물건은 아니라는 결론이 나오는걸.+하지만 이미 추락시켰으니까, 엇비슷하게 찾게 되려나...
디스트로이어()<Speaker>디스트로이어</Speaker>||:넌 안에 뭐가 들어있는지 궁금하지도 않은 거야?
드리머()<Speaker>드리머</Speaker>||<黑屏1>:딱히. 내가 보고 싶은 건, 자신의 노력이 완전히 물거품으로 돌아간 걸 알게 되었을 때, 그 녀석이 보여줄 표정뿐이야.+아니지, 그건 디스트로이어, 네 일이 아니잖아?+얼른 네트워크에 연결해서, 무인기의 좌표를 수색하지 못해?
BOSS-6(0)<Speaker>디스트로이어</Speaker>||<BIN>34</BIN><黑屏2>:쳇, 너 말야. 메모리에 무슨 문제라도 생긴 거 아냐?+난 전자전 모델이 아니라서, 네트워크를 이용한 검색 능력 따윈 없다고 말했잖아!
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:그렇다면 네 발로 직접 뛰어다녀야겠는걸. 격자식 수색이라면 할 수 있지?
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:난 단독으로 작전하는 데 특화된 인형이 아니란 말야! 나 혼자 나가봤자 험한 꼴만 당할 거라고!+예전에도 나갔다가 거의 죽을 뻔 했고, 나갈 때마다 한 무더기의 그리폰 인형들이 날 잡으려고 달려들었단 말야!+나한테 더 강력한 몸을 준다고 했잖아! 안 줄 거라면, 난 죽으러 갈 생각 없다구!
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:내가 그런 것까지 해준다고 했었나? 자느라고 몇 가지 일을 까먹은 것 같네.+좋아, 내가 너에게 새로운 신체를 줄게. 실은 나도 요즘 생각하는 게 있어서 말이지...+더 강한 화력을 가지고 싶니? 아니면 좀 더 민첩하게 움직이고 싶어? 그것도 아니면... 좀 더 화려하게 싸우고 싶다든가?
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:화... 화려하게? 그것도 좋............+아니! 그게 아니라! 전부 다 고를 수는 없는 거야!?+왜 자꾸 날 무시하는 건데! 넌 생산 라인의 권한을 가지고 있잖아! 치사하게 혼자서만 온갖 모듈을 장착하면서 나한테는 왜 주지 않는 거냐구! 완전 불공평하잖아!
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:어머... 그렇다면 원하는 대로 해줄게. 그런데, 정말로 그렇게 할 거야? 강력해지려면 그만큼의 대가가 필요할 텐데~
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:어... 그렇게 말하니까, 갑자기 불안해지잖아...+외형이 바뀌는 거라면 됐어. 난 철쪼가리들을 줄레줄레 달고 전장에 나가고 싶지는 않다구.
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:아~ 외모 말이구나...+내가 보장할게, 겉모습만큼은 지금과 똑같이 귀여울 거야. 후훗.
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:정말!? 정말이지!? 귀엽기만 하다면 아무 문제 없다구!+흐흐흥, 뭘 꾸물거리고 있는 거야, 빨리 시작하자구!
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:그러면 일단 먼저 잠부터 자 둬.+후후훗, 좀 있다 깨어났을 때는, 지금까지 한 번도 보지 못했던 완전히 새로워진 자신이 반겨줄 테니까!
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:너 말야... 그 웃음, 왠지 위험해 보이는데...+아냐, 됐어! 그래도 동료인데, 네가 날 다치게 할 리는 없겠지...
BOSS-11(0)<Speaker>드리머</Speaker>||<黑屏1>:우후훗, 그래, 그래. 우리는 영원히 동료인걸...+그럼, 잘 자고, 좋은 꿈 꾸렴...
