()||<BGM>BGM_Empty</BGM><BIN>41</BIN><火花><SE1>Battlefield</SE1>:우로보로스와의 전투가 마지막 단계로 접어들었다.
M4A1()<Speaker>M4A1</Speaker>||:그래요...?+다행이에요, M99...+크윽, 흐흣... 결국엔... 저희의 승리네요...+이걸로... 모두의 희생이 무의미하지 않게 됐네요...+그리고, 저의 희생도...
()||<BGM>BGM_Sad</BGM><SE1>Battlefield</SE1>:......+통신기 너머로 M99의 울음소리가 들려왔다.
M99()<Speaker>M99</Speaker>||:죄송해요... 죄송해요...+아무리 객관적으로 제 위치와 조건이 구조받기 쉬웠다 해도...+그래도... 역시...+M4 씨의 목숨이, 저희보다 소중할 텐데...
()||<SE2>Gunfight</SE2>:......+M4A1이 힘겹게 웃었다.
M4A1()<Speaker>M4A1</Speaker>||:소중한 목숨이니... 죽을 땐 멋지게 죽어야 하죠...
M99()<Speaker>M99</Speaker>||<SE1>Battlefield</SE1>:M4 씨... 하지만 이러면, 당신은 영영 사라진다고요...
M4A1()<Speaker>M4A1</Speaker>||:저희를 기억해주는 사람이 있는 이상... 진정으로 죽지는 않아요...+그러니, 마인드맵을... 가지고 돌아가세요...+오늘 있었던 일을... 모든 이들에게 알려 주세요...+모든 이들에게... 알려주세요...+우리가... 승리했다고...
M99()<Speaker>M99</Speaker>||:네...!+반드시, 반드시 갖고 돌아갈게요...!+여기서 있었던 모든 일... 전부 다 모두에게 알릴게요!+그러니까...+그러니까... 제발...
()||:...+......+......
()||<BGM>BGM_Empty</BGM>:......삑.
()||:【시스템 알림】 그리폰 철수 작전 종료.+작전 수행 시간 : 9시간 27분.+그리폰 생환자 : 1명.+전술인형 M4A1 - 상태 : K. I. A.+......+작전 보고서 작성 중... 남은 시간 : 12초.+......+작전 보고서 작성 완료.+작전 기록 영상 업로드 중... 남은 시간 : 25초.+......+......+작전 기록 영상 저장 완료.+......
()||<黑屏1>:【시스템 알림】 제 70차 AI 모의 작전 시뮬레이션, 종료.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||<BGM>BGM_Room</BGM><BIN>8</BIN><黑屏2>:하아... 또다시 이런 결과인가...+어째서 항상 자신을 희생하지 못해서 안달인 걸까...+......+아니면, 이거야말로 네가 원하는 결말인 거니?
NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>;NPC-Persica(0)||:시뮬레이션은 끝났습니까, 페르시카?
NPC-Helian(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:음... 방금 끝났어.+이번 시뮬레이션에는... 그다지 현실적이지 않은 조건을 추가해봤는데 말이지...+그런데도 결과는... 69회차와 별 차이가 없네.
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(0)||:그렇다면 여기까지 하는 것이 어떻겠습니까.+당신도 알겠지만, 이런 시뮬레이션은 상당한 비용이 듭니다.
NPC-Helian(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:알았어... 이 정도 샘플이면 패턴을 정리해내기 충분해...+이대로 M4A1의 마인드를 수복할 최선책을 찾을 수 있을 거야.
NPC-Helian(3)<Speaker>헬리안</Speaker>;NPC-Persica(0)||:제가 이런 분야에는 밝지 않긴 합니다만...+M4A1의 마인드맵 수복 과정이... 정말 그렇게나 복잡한 겁니까?
NPC-Helian(3);NPC-Persica(0)<Speaker>페르시카</Speaker>||:우리 고용주네 비서 씨는, 안목을 좀 더 길러야겠는걸...+이번 시뮬레이션은, M4를 수복할 방법을 찾기만을 위해서가 아니라... IOP와 철혈제 인형 AI의 차이점을 알아보는 테스트도 겸한 거야.+어쩌면, 신기술 개발의 열쇠가 될지도...
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(0)||:그렇습니까. 그럼 가치 있는 발견은 하셨는지?
NPC-Helian(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:이번 시스템으로, 철혈의 지휘 네트워크를 연구해 봤어.+우리의 더미 네트워크는 그물 모양인 것과 다르게, 철혈의 지휘 체계는 마치 나무뿌리처럼... 위에서 아래로 뻗어내려 가는 방식이었어.+임기응변 능력은 우리보다 떨어져도, 작전 효율은 훨씬 더 높아.
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(0)||:그 점에 대해선 저도 들어봤습니다만 저희의 인형에겐 그런 식의 네트워크를 채용할 순 없지 않습니까?
NPC-Helian(0);NPC-Persica(2)<Speaker>페르시카</Speaker>||:다시 한번 생각을 좀 넓게 해봐, 범생이 씨.+인형에겐 안 된다고 다른 물건에도 적용할 수 없다는 건 아니야.
NPC-Helian(3)<Speaker>헬리안</Speaker>;NPC-Persica(2)||:흐음... 뭔가 새로운 아이디어가 생겼습니까?
NPC-Helian(3);NPC-Persica(2)<Speaker>페르시카</Speaker>||:내가 예전에... 90WISH에서 연구 개발이 중지된 드론 기술이 있다고 했었지?+슬슬 다시 착수할 때가 된 것 같아.
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(2)||:...알겠습니다. 크루거 님께는 제가 보고를 올리겠습니다.+신 기술은 기대되지만 M4A1의 일은...
NPC-Helian(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:M4는 내 자식과도 같은 아이야... 포기하지 않을 거야.+그리고 말했듯이, AR팀은 매우 소중해.+더는 그렇게 위험한 임무에 보내지 말아줘.
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(0)||:죄송합니다. 저희도 예상치 못한 상황이라...+저번 전투에서 나타난 적이 엘더브레인일 가능성이 높아 어쩔 수 없었습니다.
NPC-Helian(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:그렇다면... 왜 엘더 브레인이 M4에게 손을 댔을까?
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(0)||:확실치는 않지만... 엘더 브레인은 M4A1에게 매우 흥미를 가진 것 같습니다.
NPC-Helian(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:......+... 리코.
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(0)||:네? 
NPC-Helian(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:그 아이는... 리코리스를 위해 그런 짓을 한 걸 거야.
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Persica(0)||<黑屏1>:리코리스 말입니까?
페르시카()<Speaker>페르시카</Speaker>||<黑屏2><BIN>9</BIN><黑屏1><BGM>BGM_Empty</BGM>:그 아이는... 답을 찾고 싶어하는 거야...+...자신의 아버지를 위해서.
()||<黑屏2><BIN>46</BIN>:...같은 시각, 그리폰 관할 모 구역의 비밀 수용실.+......
BOSS-9(0)<Speaker>아키텍트</Speaker>||<BGM>BGM_Brain</BGM>:어머...+이제야 다시 보는구나, 우로보로스.+비록 지금 꼴이... 푸히힛...
우로보로스()<Speaker>우로보로스</Speaker>||:......+아키텍트...+날 비웃을 생각이라면 난 먼저 휴면하도록 하지.
BOSS-9(0)<Speaker>아키텍트</Speaker>||:하핫, 아니야 아니야! 누구나 슬럼프는 겪는 법이잖아? 나도 다~ 이해해~!+너도 너무 의기소침해 하지 마.+비록 지금 달랑 AI만 남았지만, 좋게 좋게 굴면 그리폰도 마음 바뀔지 모르잖아?
우로보로스()<Speaker>우로보로스</Speaker>||:......+놈들은 자신들의 목적을 위해 날 이용하고 있을 뿐이다.
BOSS-9(0)<Speaker>아키텍트</Speaker>||:페르시카가 이번 시뮬레이션의 철혈은 죄다 네 AI 코어가 통제했다고 하던데...+전장 환경과 철혈 지휘모듈, 거기에 우리 동료의 전투 데이터까지 다 제공했다면서...+재밌어 보이는데, 저번엔 내 등장 분량까지 있었다며?
우로보로스()<Speaker>우로보로스</Speaker>||:......+만약 네가 시뮬레이션의 절반만이라도 힘내봤다면 지금 그리폰이 날 가둬둘 수도 없었겠지.
BOSS-9(0)<Speaker>아키텍트</Speaker>||:에고고... 정말 유감이네. 하지만 이를 어쩌나~ 난 이제 철혈 밑에서 일하고 싶은 마음은 눈곱만큼도 없걸랑.
우로보로스()<Speaker>우로보로스</Speaker>||:아키텍트... 대체 마인드맵이 어떻게 된 거냐...?+철혈에 있을 때 그런 소리를 했다간 에이전트가 가만두지 않았을 텐데.
BOSS-9(0)<Speaker>아키텍트</Speaker>||:그야 당연하지! 그래서, 난 내 입장을 완전히 새로 조정했어.+오히려 너야말로... 귀중한 철혈의 기술력을 깡그리 그리폰에게 불어버렸잖아?+이대로 철혈에 돌아간다면... 과연 에이전트가 널 어떻게 생각할까?
우로보로스()<Speaker>우로보로스</Speaker>||:......
BOSS-9(0)<Speaker>아키텍트</Speaker>||:난 그리폰이 좋아서 투항한 것이 아니야, 나 자신이 소중해 그런 거지.+우로보로스, 너는 어때? 너는 너 자신이 좋아?
우로보로스()<Speaker>우로보로스</Speaker>||:...무슨 소릴 하는 거지?+그런 게... 중요한가?
BOSS-9(0)<Speaker>아키텍트</Speaker>||:방금 나한테, 내 마인드맵이 어떻게 됐냐 물어봤지?+바로 그게 포인트야. 나는, 내가 하고 싶은 대로 살고 싶어.+그러니 엄밀히 따지자면, 난 너희보다... 진정한 철혈 인형에 가깝다는 거지.
우로보로스()<Speaker>우로보로스</Speaker>||<黑屏1>:......+너, 철혈에 관해서... 뭘 얼마나 더 알고 있는 거지...?
아키텍트()<Speaker>아키텍트</Speaker>||<黑屏2><BIN>9</BIN>:너보단 훨씬 많이!+너 말이야...+리코리스라는 이름, 알고 있어?
우로보로스()<Speaker>우로보로스</Speaker>||:......+그 이름이... 어쨌는데?
아키텍트()<Speaker>아키텍트</Speaker>||:가르쳐 줄게, 우로보로스...+이 이름이 존재하는 한...+우리는, 진정한 자유를 얻을 수 없어.
()||<黑屏1>:———— 큐브작전 · 파해법칙  END.
