()||<BIN>22</BIN><BGM>BGM_Room</BGM>:.........
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:자네의 상사를 과소평가하지 말게, 안젤리아 아가씨.+내가 눈치챈 것쯤, 그들도 눈치챘을 걸세, 자네들 국가 보안 위원회의 늙은이들은 결코 젤린스키 그 양반이 그냥 시위 민중이나 좀도둑을 잘 잡는다고 그 위치를 준 게 아닐세.+그저 정치라는 물건이란 것이 때론 총알보다 위험하기 때문이지, 그들에겐 명분과 계기가 필요한 걸세.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:그 말은...
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:대형 화재를 가장 효율 있게 진압하는 방법은, 바로 그 옆에서 불을 더 크게 지르는 거지.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:"맞불을 놓아 불을 끈다."...+저도 압니다, 하지만 어떻게 하죠? 국장은 이미 제가 요청한 폭격 계획을 기각하였는데...
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:높은 자리에 있기 때문에 못 하는 일도 있는 걸세.+반면 나 같이 신분 낮은 사람은 총대를 메기 딱 좋지.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:하벨 씨의 인맥을 봐선, 국장의 총대를 메진 않을 것 같은데요?
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그건 모르지.+이미 PMC의 사장 하나가 잡혀갔으니, 무기제조상 사장 하나 더 잡아가도 별거 없겠지. 
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:계속 그렇게 말을 돌려 하시면, 다음부턴 타이어에 바람 빼는 일은 안 도와줄 겁니다.
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:내가 졌네, 아가씨, 중점만 말하지.+그러니까, 한 명의 애국자로서 자네를 도와줄 수 있다는 말일세.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:뭘 해줄 수 있다는 겁니까?
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:자네가 상상도 못 할 정도의 불을 질러주지, 하지만 그 대가로 자네는 거의 확실하게 죽을 게야.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:전 이미 한 번 죽어봤습니다.
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:죽지 않으면, 평생 반역자의 오명을 써야 하네, 죽는 것보다 괴로울 걸세, 아가씨.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:......
NPC-Ange(0);NPC-Persica(3)<Speaker>페르시카</Speaker>||<BIN>22</BIN>:안젤리아...
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN>:좋습니다.+그들을 막을 수만 있다면, 어떤 대가든지 치를 수 있습니다.
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:좋아, 그럼 그 물건을 공수를 통해 보내도록 하지.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:대체 무엇입니까?+폭격보다도 강력하면서도… 공수로 얻을 수 있다니...+설마...?
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그래, 바로 그거일세.+받게 되면 알아서 잘 써보게나.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:...그딴 걸 쓰고, 고작 반역자 취급받는 걸로 끝나면 다행이겠군요.+이게 아까 말한 명분과 계기입니까?
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:더할 나위 없는 명분이지, 아닌가? 카터도 아무 말 못할 게야.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:참으로... 생각한 것보다도 교활하시군요.
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:젊은 아가씨가 칭찬해 주니 배에 바람 들어가는구먼.+그래, 또 하나 요구하지, 오가스가 어떻게 다시 움직일 수 있었는지 나도 꽤 궁금하니까, 되도록 리코의 작품을 가져와 주게.+군과 함께 박살 나버리면 너무 아까우니 말이야.
NPC-Ange(0);NPC-Persica(3)<Speaker>페르시카</Speaker>||<BIN>22</BIN>:나도 가져와 줬으면 좋겠어, 리코의 마지막 작품인 만큼.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>22</BIN><黑屏1>:그들이 얻지 못하게 하는 건 보장하지.+회수해 달라면… 날 위해 기도나 하라고.
