()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Room</BGM><BGM>BGM_Room</BGM>:
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:저 아이의 선량함이 충격을 더했겠지.+M4의 선량함은 내가 잘 알고 있어... 하지만 선량하기만 해선, 아무것도 지키지 못해.+책임을 짊어진 이상, 타인에게 상처를 주는 동시에 자신에게도 더 큰 상처를 입히게 되지.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:그 전투에서 M4는 충분히 잘 해냈어. 하지만...+의심하는 건 아니지만, 지금 저 상태로는 과연 전술인형으로서 제대로 싸울 수나 있을런지 걱정이야.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:그렇게 걱정되면, 직접 물어보지 그래?
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||<黑点1>:흥, 귀찮은 일은 꼭 나한테 떠넘기더라.
()||<黑点2><BGM>BGM_Empty</BGM>:M4A1은 무명비 근처에서 사주 경계 중이었다.+그러던 차에, AK12가 그녀에게 다가왔다.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>BGM_Room</BGM>:무슨 일이죠?
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:아니, 그냥 네가 심심해 보이길래 부대원이나 챙겨줄까 해서 왔지.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:제게 신경 쓸 필요 없습니다. 각자 맡은 임무에 집중하세요.
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:너, 돌아온 뒤로 점점 차가워진다?+부대로 복귀한 소감은 어때?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:......+지금 그런 얘기를 하고 싶지 않습니다.
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:그래?+혼잣말하는 게 그렇게 좋은가 보구나.
M4A1Mod(3)<Speaker>M4A1</Speaker>;AK12(0)||:무슨 말씀이죠?
M4A1Mod(3);AK12(0)<Speaker>AK12</Speaker>||:무슨 말일까나~?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AK12(0)||:전 혼잣말 같은 건 하지 않습니다. 그저 현 상황에서... 잡담을 나눌 기분이 아닙니다.
M4A1Mod(0);AK12(0)<Speaker>AK12</Speaker>||:임무에 집중하고 싶어서야? 아니면... 대화 상대가 또 하나의 네가 아니라서 싫은 거야?
M4A1Mod(4)<Speaker>M4A1</Speaker>||:............
AK12(0)<Speaker>AK12</Speaker>||:뭐, 상관없어. 지금 그 모습도 나쁘지 않아.+네가 신비해질수록, 나도 관찰하기 재밌어지니까.
()||<BGM>BGM_Empty</BGM>:말을 마치고, AK12는 M4에게서 멀어졌다.
M4A1Mod(3)<Speaker>M4A1</Speaker>||<黑屏1>:설마... 눈치챈 건가...?
청아한 목소리()||<BIN>9</BIN><BGM>BGM_Brain</BGM>:너는 정말 무엇 하나 숨길 줄을 모르는구나.+아무리 무표정으로 있어도 바로 생각을 읽히고 말이야.
M4A1Mod(4)<Speaker>M4A1</Speaker>||:닥치세요. 당신만 없었으면 저도 이럴 필요 없었습니다.
M4A1Mod(4)<Speaker>청아한 목소리</Speaker>||:그동안 많은 일을 겪으면서 서로 신뢰 관계가 두터워졌다고 생각했는데.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:전 당신을 믿은 적 없습니다. 기껏해야 서로 이용하고 있던 거죠.
M4A1Mod(0)<Speaker>청아한 목소리</Speaker>||:그거 참 속상해지는 말이네. 저번에는 우리 서로 잘 맞지 않았어?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:칫... 그땐 다른 선택지가 없어서였을 뿐입니다.
M4A1Mod(0)<Speaker>청아한 목소리</Speaker>||:앞으로도 선택의 여지가 없는 상황이 수도 없이 네 앞을 가로막을 거야.+하지만 적어도, 이젠 나의 존재를 받아들였구나.+걱정 마렴. 내 인내심은 바다와 같으니까.
M4A1Mod(4)<Speaker>M4A1</Speaker>||:당신이 절 속인 일을 잊지 않았어요. 원하는 걸 얻고 싶다면, 얌전히 제게 복종하세요, 오가스.
M4A1Mod(4)<Speaker>오가스의 목소리</Speaker>||<黑屏1>:우리 모두 자아를 찾기 위해 움직이는 거잖아?
오가스의 목소리()||<黑屏1>:진실을 밝히기 위해, 자매끼리 함께 잘 해보자.
