()||<BIN>34</BIN><BGM>BGM_Boss</BGM>:......
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:네 마인드맵을 추출해서 개조 공장으로 옮긴 것뿐이니까, 조급해할 거 없어. 조립도 곧 시작될 거야.+지금은 우선 이 신호가 누구인지 먼저 파악을 해야 해서 잠깐 중단한 거고. 그러니, 내가 저쪽을 추적할 때까지 날 도와줬으면 좋겠는데, 어때?+먼저 네가 놈들에게 방송을 하나 해주렴. 그걸로 녀석들을 한 번 떠보자.
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||<黑屏1>:쳇, 마구 부려먹기나 하고... 알았어, 너 좋을 대로 해.+내 손으로 직접 저놈들을 손봐줄 수만 있으면 돼.
()||<BIN>55</BIN><Night><BGM>BGM_Sneak</BGM><黑屏2>:......정찰 거점 확보로부터 10분 후.
UMP9(0)<Speaker>UMP9</Speaker>||:여기는 UMP9, 제레 응답 바람. 반복한다. 여기는 UMP9, 제레 응답 바람.
UMP9(0);NPC-Seele(0)<Speaker>제레</Speaker><通讯框>||:아, 9 씨군요. 보고할 게 있으신가요?
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Seele(0)||:수색에 적합한 거점을 찾아냈고, 전자전 모듈은 정상적으로 운용되고 있어.+계속해서 무인기를 수색할 거야. 다른 사람들은 준비 작업을 하는 중이고.
UMP9(0);NPC-Seele(0)<Speaker>제레</Speaker>||:잘하셨어요. 계속해서 힘내주세요.
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Seele(0)||:헤헤~ 임무 중에 힘내라는 말을 해주는 건, 제레 밖에 없을 거 같다니까.+그리고 뭐 하나 물어볼 게 있는데, 데레 거기 있어?
UMP9(0);NPC-Seele(0)<Speaker>제레</Speaker>||:불러올 테니, 잠시만 기다려 주세요.+데레! 잠깐 이리 와봐!+게임이 뭐가 어쨌는데! 멈춰놓고 오면 되잖아!
UMP9(0);NPC-Seele(0)||:
()||:......
UMP9(0);NPC-Deele(0)<Speaker>데레</Speaker><通讯框>||:아오 진짜... 이번엔 뭐야, 무슨 일인데?+어? 왜 보안 채널로 변경했어?
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:조금 걱정되는 일이 생겨서. 저번에 너한테 부탁했던 것, 안 잊었지?
UMP9(0);NPC-Deele(0)<Speaker>데레</Speaker>||:아, UMP45의 그거?
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:그래, 24시간 동안 언니의 마인드맵 상태 말이야. 이제 슬슬 24시간이 됐잖아?
UMP9(0);NPC-Deele(0)<Speaker>데레</Speaker>||:결과야 진작에 나왔지. 이참에 보도록 할까...+어라?
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:왜 그래?
UMP9(0);NPC-Deele(0)<Speaker>데레</Speaker>||:흐으으음...+별다른 문제는 없는데, 조금 이상한 점이 있네.
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:조금 이상하다는 건, 문제가 있긴 있다는 거 아냐?!
UMP9(2);NPC-Deele(0)<Speaker>데레</Speaker>||:하아, 인형의 마인드맵은 전부 저마다 조금씩 이상한 구석이 있다고.+몇 시간 전, 45의 마인드맵의 데이터 처리량이 갑자기 늘어났다가 되돌아왔어.
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:늘어나? 뭐 때문에?
UMP9(2);NPC-Deele(0)<Speaker>데레</Speaker>||:일반적으로는 파일 이동이나 메모리 정리, 아니면 몰래 영상 채널 시청 등 때문에 일어나지.+이러한 조작을 하면 반드시 데이터 처리량이 증가하게 돼. 그리고 45의 증가량은 아직 정상 범주 내야.
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:하아... 데레, 널 믿어도 되는 거지?
UMP9(2);NPC-Deele(0)<Speaker>데레</Speaker>||:안심해. 너희들이 비록 불법 인형이기는 해도, 너희를 관리하는 게 우리의 일이니까.+아무리 사소한 거라도 너네한테 문제가 생겼다간 우리 손해가 막심해진다고!
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:그렇게까지 말한다면야...+아무튼, 언니의 상태를 계속해서 지켜봐 줘. 언니의 마인드맵 보호를 최우선으로 부탁할게, 알았지?
UMP9(2);NPC-Deele(0)<Speaker>데레</Speaker>||:문제 없어. 하지만, 임무를 무사히 끝마치는 게 전제 조건이야. 명심해.
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:흥, 나도 알고 있다구. 그럼 잘 부탁해.
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||:9, 보고는 다 했어?
UMP9(0)<Speaker>UMP9</Speaker>;UMP45(0)||:아, 응! 방금 끝났어. 언니, 준비 작업은 어때?
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||:조금 문제가 생기기는 했지만, 곧 해결될 테니 걱정하지 않아도―
UMP9(0);UMP45(0)||:
()||<SE1>Alarm</SE1><BGM>BGM_Boss</BGM>:......삐! 삐! 삐!
UMP9(2)<Speaker>UMP9</Speaker>;UMP45(0)||:이건... 철혈의 경보음이잖아?
UMP9(2);UMP45(0)||:
디스트로이어()<Speaker>디스트로이어</Speaker>||:크흠크흠!+아─ 아─. 마이크 테스트, 마이크 테스트.
HK416(2)<Speaker>HK416</Speaker>;UMP45(0)||:무슨 일이지? 이 목소리는...?
HK416(2);UMP45(2)<Speaker>UMP45</Speaker>||:디스트로이어야. 지금 녀석이 나타났다는 건...
HK416(2);UMP45(2)||:
디스트로이어()<Speaker>디스트로이어</Speaker>||:이 빌어먹을 그리폰의 꼬맹이들아―! 지금부터 내가 하는 말을 똑똑히 듣도록 해!+우린 이미 너희가 여기에 온 걸 알고 있단 말씀!
HK416(2);UMP45(2)<Speaker>UMP45</Speaker>||:......!
HK416(2);UMP45(2)||:
디스트로이어()<Speaker>디스트로이어</Speaker>||:네 녀석들이 여기에 뭘 하러 온 건지도 알고 있어! 너희들을 잡는 건 시간문제야!+어때? 어때! 무지 신경 쓰이지? 무섭지?
G11(0)<Speaker>G11</Speaker>;UMP45(2)||:거참 쫑알쫑알 되게 시끄럽네... 그냥 지금 가서 죽여 버리면 안 돼?+몇 번이나 모가지를 땄는지 이젠 기억도 안 나는 놈인데.
G11(0);UMP45(2)||:
디스트로이어()<Speaker>디스트로이어</Speaker>||:아, 맞아 맞아. 난 너희들이 지금 무슨 생각을 하고 있는지도 알고 있다구!+네 녀석들이 다음에 할 말은... "몇 번이나 모가지를 땄는지 이젠 기억도 안 나는 놈인데."닷!
()||:......짝! 짝! 짝!+디스트로이어가 방송 중에 손뼉을 치기 시작했다.
디스트로이어()<Speaker>디스트로이어</Speaker>||<黑屏1>:내가 너희들에게서 받은 자잘한 괴롭힘...을 부인하지는 않겠어.+하지만 오늘! 오늘 난 완전히 새롭게 태어난다!
디스트로이어()<Speaker>디스트로이어</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:잠시 후, 잠시 후면 나는 완전히 새로운 몸을 얻게 될 거야...+강하고! 빠르고! 아름다운! 완벽한 몸을 말이야! 너희들은 내 상대가 되지 못할 거라구!+나한테 사로잡히는 게 아니라, 싸우다 죽게 해달라 기도나 하고 있어라! 꺄하하하핫!
