()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:기지 내부.
NPC-Jason(1)<Speaker>지휘관</Speaker>||<BGM>BGM_Empty</BGM>:그딴 건 됐으니까 너도 할 일이나 해. 통신 종료.
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:전방에는 이제 엄폐물도 없었다.+하지만... 망설일 시간이 없다.+허리춤에 폭탄을 단단히 묶고, 나는 최대한 바닥에 엎드려 천천히 기어갔다.
NPC-Yegor(3)<Speaker>병사A</Speaker>||:매류코프가 맞았다! 당장 후방으로 데려가!
NPC-Yegor(3);NPC-Soldier(0)<Speaker>병사B</Speaker>||<SE2>Gunfight</SE2>:놈들을 제압할 수가 없어! 수류탄 남는 사람 없어?!
NPC-Yegor(3)<Speaker>병사A</Speaker>;NPC-Soldier(0)||<SE1>Battlefield</SE1>:아까 다 던지고 없어!+젠장, 총알도 몇 발 안 남았잖아!? 교대 바란다!
NPC-Yegor(3);NPC-Soldier(0)<Speaker>병사B</Speaker>||<SE1>RunStep</SE1>:지금 간다!+중사님께 철갑탄 더 보내 달라 연락해!+그리고 증원도! 놈들에게 밀린다!
NPC-Yegor(3)<Speaker>병사A</Speaker>||<SE2>Gunfight</SE2>:그쪽도 철갑탄 다 떨어졌단다! 빌어먹을, 부상자는 아직 움직일 수 있으면 탄띠 잡고, 최대한 절약하면서 쏴!
()<Speaker></Speaker>||<SE1>Battlefield</SE1><BGM>BGM_Battle</BGM>:멀지 않은 곳에서 교전이 벌어졌다. 피탄당한 병사는 다른 병사들에게 질질 끌려 후방으로 이송됐지만, 부상자들 모두 치명상은 입지 않았다. 경험이 풍부한 베테랑들인 만큼, 함부로 신체를 노출하지 않았기 때문이다.+그럼에도 근거리 교전에선 인간보다 순발력이 월등한 전술인형들이 유리했다. 차례차례 병사들의 팔과 무기에 총구멍이 났고, 비명소리가 끊이질 않았다.+의료병들은 필사적으로 부상자들을 지혈했고, 다른 병사들은 부상병의 탄창을 건네받아 전선으로 돌아갔다.+총성과 비명이 메아리치는 통로에서, 병사들의 시선이 교전 지점으로 쏠린 틈을 타 나는 빠르게 포복 전진했다.+군의 임시 지휘부에서 또다시 1개 분대가 교전 지점 방향으로 뛰어갔다. 총구의 플래시가 흔들거리며 몇 번이고 내 얼굴을 비쳤지만, 다행히 그들은 정신없는 와중이라 바닥에 엎드린 나를 보지 못했다.+그들이 지나간 뒤, 나는 몸을 일으켜 뜀걸음으로 반대편 엄폐물 뒤로 숨었고, 그제야 잠깐 숨을 돌리며 쿵쾅대는 심장을 진정시켰다.+이제 남은 문제는 하나였다. 약 10m 앞에 군 소대의 엄폐물이 있지만, 수문이 지휘부의 엄폐물 바로 뒤에 있어 도저히 우회가 불가능했다.
NPC-Yegor(3)<Speaker>장교</Speaker>||:카라스코 소대는 뭐 하고 있어? 당장 이쪽으로 복귀하라 해!
NPC-Yegor(3);NPC-Soldier(0)<Speaker>중사</Speaker>||:카라스코 소대는 전멸했습니다! 현재 9-1, 9-3 소대가 측면으로 우회해 놈들의 화력 포인트를 포위하려 합니다!
NPC-Yegor(3)<Speaker>장교</Speaker>;NPC-Soldier(0)||:Сука! 포위하는 건 됐다!+지금은 저딴 인형들과 실랑이나 벌일 때가 아니라고! 대위님이 우릴 기다리신단 말이다!
NPC-Yegor(3);NPC-Soldier(0)<Speaker>중사</Speaker>||:하지만 적의 방해가 너무 끈질겨 탄약 소모가 심각합니다!
NPC-Yegor(3)<Speaker>장교</Speaker>;NPC-Soldier(0)||:서로 엄호하면서 복귀하도록 해! 전원 집결하면 대위님을 쫓아간다! 우리가 마지막이다!
NPC-Yegor(3);NPC-Soldier(0)<Speaker>중사</Speaker>||:이제 증원은 없는 겁니까?
NPC-Yegor(3)<Speaker>장교</Speaker>;NPC-Soldier(0)||:밖에서 터지는 소리 못 들었나?+일개 PMC가 저런 소란을 일으킬 수 있을 것 같아?!
NPC-Yegor(3);NPC-Soldier(0)<Speaker>중사</Speaker>||:빌어먹을 앞잡이 놈들...!
NPC-Yegor(3)<Speaker>장교</Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_pistol_finalshot_sup</SE1>:대위님이 제어실까지 도달할 수만 있다면 동지들의 희생은 헛되지 않는다. 빨리 다른 소대에게 연락­――
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM><SE1>AVG_pistol_finalshot_sup</SE1><黑点1>:두 발의 총성이 울리고, 엄폐물 내의 두 사람은 머리에서 피를 쏟았다.+나는 신속히 안으로 진입해 확인 사살을 한 뒤, 그중 한 명의 무기와 무전기를 가지고 수문으로 달음박질쳤다.+내 총성은 혼란스러운 교전 상황에 묻혔고, 적 병사들은 자신의 지휘관이 사살된 것을 깨닫지 못했다. 덕분에, 폭탄을 설치하기에 충분한 시간을 벌었다.
()<Speaker></Speaker>||<黑点2>:......+폭탄과 기폭 장치의 상태가 양호한 것까지 확인했으니, 이제 안전거리까지 물러나 폭파하기만 하면 된다.+기폭 스위치를 다시 한번 점검하고 주머니에 넣은 뒤, 조금 전부터 시끄럽게 울리던 통신기를 들었다.
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>지휘관, 나다.</color>+<color=#00CCFF>폭탄 설치 완료했다.</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>||:그래, 이쪽도 막 끝낸 참이야.+먼저 이탈해, 약간 말썽이 생겼어.
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>설마, 놈들의 지휘관을 해치운 건 아니겠지?</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>||:도저히 우회가 불가능했거든.
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>역시. 조심해라, 분대 하나가 널 찾기 시작했다.</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>||:알았다. 일단 안젤리아와 연락해서 어떻게 할지 판단하지.
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>통신이 가능할까?</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>||<SE1>AVG_tele_disconnect</SE1>:전파 방해도 사라졌으니 될 거야. 그럼 끊는다.
()<Speaker>지휘관</Speaker>||<SE1>AVG_tele_connect</SE1>:안젤리아 씨, 제 말 들립니까?
NPC-Ange(1)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>잘 들려.</color>+<color=#00CCFF>지금 바쁘니까 짧게 말해.</color>
NPC-Ange(1)<Speaker>지휘관</Speaker>||:폭탄 설치를 완료하여, 언제든지 터뜨릴 수 있습니다.+그쪽 상황은 어떻습니까?
NPC-Ange(1)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>예고르가 지하 2층으로 진입해서 지금 리벨리온과 함께 추격 중이야.</color>+<color=#00CCFF>AR팀은 아직 지하 1층에서 다른 기갑들과 교전 중인데, 현재 상황은 나도 몰라.</color>+<color=#00CCFF>상황이 좋지 않으니까, 언제든지 터뜨릴 수 있도록 준비해.</color>
NPC-Ange(1)<Speaker>지휘관</Speaker>||:알겠습니다. 그럼 언제 철수할 겁니까?
NPC-Ange(1)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>우리가 철수하든 말든, 아무리 늦어도 5분 후에 자동 폭발하도록 설정해.</color>+<color=#00CCFF>너도 그동안 가능한 한 높은 곳으로 대피하고.</color>
NPC-Ange(1)<Speaker>지휘관</Speaker>||:군을 제압할 수 있다면 이런 수단까지 동원할 필요는 없지 않습니까?
NPC-Ange(1)<Speaker>안젤리아</Speaker>||:<color=#00CCFF>상황이 변했어. 지금 스타피쉬가 작동하려는 낌새가 있어.</color>+<color=#00CCFF>방심했어... 예고르를 막더라도, 전에 스피라에나 코어와 접촉한 적이 있는 M16이 스타피쉬 가동 권한을 가졌을지도 모른다는 생각을 했어야 했는데.</color>+<color=#00CCFF>하여간, 애당초 존재해서는 안 되는 기지였어. 지금 상황에선 임기응변으로 대처할 수밖에.</color>
NPC-Ange(1)<Speaker>지휘관</Speaker>||<SE1>AVG_tele_disconnect</SE1>:알겠습니다. 모두를 대피시킬 수 있도록 노력하겠습니다. 통신 종료.
()<Speaker>지휘관</Speaker>||<SE1>AVG_tele_connect</SE1>:M4, 지휘관이다. 그쪽 상황은 어떻지?
NytoIsomer(3)<Speaker>댄들라이</Speaker><通讯框>||:<color=#00CCFF>댄들라이입니다, 지휘관님. AR팀은 현재 전투에 전념하고 있습니다. 그 옛 대원도 현장에 나타났습니다.</color>
NytoIsomer(3)<Speaker>지휘관</Speaker>||:교전 중지하고 복귀하라 전달해.+스타피쉬가 가동하려는 낌새가 보인다는 안젤리아의 연락을 받았다. 5분 후에 수문을 폭파하겠어.
NytoIsomer(3)<Speaker>댄들라이</Speaker>||:<color=#00CCFF>불가능합니다. 적과 접전을 벌이고 있어, 바로 이탈할 수 없습니다.</color>+<color=#00CCFF>그리고, 루니샤가 M16A1을 쫓으러 가는 것을 말릴 방도가 없습니다.</color>
NytoIsomer(3)<Speaker>지휘관</Speaker>||:치잇... 무슨 수를 써서라도 모두 돌아올 수 있게 해. 정확히 5분 뒤에 수문이 폭파되니까, 꾸물거리다간 모두 물속에 잠기고 말아.
NytoIsomer(3)<Speaker>댄들라이</Speaker>||:<color=#00CCFF>노력하겠습니다.</color>
NytoIsomer(3)<Speaker>지휘관</Speaker>||<SE1>AVG_tele_disconnect</SE1>:부탁한다. 통신 종료.
()<Speaker>지휘관</Speaker>||<SE1>AVG_tele_connect</SE1>:카리나, 들리니? 지금 폭탄 설치가 끝났으니 제대를 최대한 높은 곳으로 피신시켜. 정확히 5분 뒤에 폭파한다.
NPC-Kalin(8)<Speaker>카리나</Speaker><通讯框>||:<color=#00CCFF>알겠... 네!? 그럼 지휘관님은 어떡하시려고요?!</color>+<color=#00CCFF>어째선진 몰라도 지금 병사들이 지휘관님 방향으로 물러나고 있어요! 다시 공격해볼까요?</color>
NPC-Kalin(8)<Speaker>지휘관</Speaker>||:아니, 더 이상의 모험은 하지 마. 난 알아서 빠져나갈 테니까 걱정 말고, 어서 서둘러. 통신 종료.
NPC-Yegor(3)<Speaker>병사</Speaker>;NPC-Kalin(8)||:프라체코프! 네 소대도 함께 따라와!+Сука блять! 9-3, 소위님이 당했다! 적이 침투했다!+주변을 샅샅이 뒤져라! 아직 멀리 가지 못했을 거다!
NPC-Yegor(3)<Speaker>지휘관</Speaker>||<SE1>AVG_tele_disconnect</SE1>:빨리도 왔군...
()<Speaker></Speaker>||:병사들이 점점 엄폐물로 가까이 다가왔다. 지금 이 손에 들린 장비와 기폭 스위치만으로 저놈들과 정면을 맞붙는 건 무모한 짓이겠지.+그리고, 지금은 더 중요한 임무가 있다.+하지만 병사들이 벌써 포위망을 짰으니, 이제 들키지 않고 빠져나가기는 무리다.
NPC-Soldier(0)<Speaker>병사</Speaker>||<BGM>BGM_Empty</BGM>:찾았다!
NPC-Soldier(0)<Speaker>지휘관</Speaker>||<BGM>BGM_Danger</BGM>:!!
NPC-Soldier(0)<Speaker></Speaker>||:그렇다고 가만히 있으면 개죽음이다. 나는 노획한 소총을 난사해, 놈들이 엄폐물을 찾는 틈을 타 전력으로 질주했다.
NPC-Soldier(0)<Speaker>병사</Speaker>||<SE2>Gunfight</SE2>:빌어먹을 쥐새끼가 저기 있다, 쏴라!
()<Speaker></Speaker>||<SE2>Gunfight</SE2><SE1>RunStep</SE1><快跑>:총알은 소나기처럼 쏟아졌다.+소총을 떨어뜨리는 걸 신경 쓸 여유도 없이, 있는 힘을 다해 전속력으로 달렸다.+그리고 바닥을 뒹굴며 마지막 총알을 피하면서, 골목길 안으로 몸을 던졌다.
NPC-Soldier(0)<Speaker>병사</Speaker>||<SE1>AVG_rifle_finalshot_h</SE1>:길을 막아! 놓치지 마라!
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2><白屏1>:병사 두 명이, 내가 숨어 있는 골목을 향해 사격했다.+그리고 다른 두 명이 점사하면서 골목의 귀퉁이로 접근하는 소리가 들렸다. 하지만 총알이 비처럼 쏟아지는 상황에서, 고개를 내미는 정신 나간 짓은 하지 않았다.+탁! 구르르르... 뭔가가 이쪽으로 굴러왔다.+...수류탄!
()<Speaker>지휘관</Speaker>||<白屏2><SE1>Explode</SE1>:크윽!
()<Speaker></Speaker>||<SE1>AVG_bigglassbreak</SE1>:콰앙!+가까스로 엎드려 폭발은 피했지만, 워낙에 가까웠던 탓에 이명이 일어났다.+땀이 쏟아진다. 극도의 긴장감 때문인지, 격렬한 움직임 때문인지는 알 수 없다.+옷 안에 손을 넣어 보니 온통 시뻘겋게 물들어 있었다.
지휘관()<Speaker>지휘관</Speaker>||:이거 큰일인데...
()<Speaker></Speaker>||:적이 점점 거리를 좁혀 오는 일촉즉발의 상황이었다.+나는 머리에 흐르는 땀을 털어내고, 기폭 스위치를 쥐었다. 손가락은 아직 멀쩡했다.+그리고 권총을 꺼내, 발악할 준비를 마쳤다.+정말 익숙한 상황... 하지만 지금에 비하면, 그때는 소꿉놀이나 다름없는 수준이었음을 실감했다.
()<Speaker>지휘관</Speaker>||<SE1>AVG_weapon_reload</SE1>:사장님, 이력서 넣을 때 이렇게 위험한 직장이라 하신 적 없잖습니까...+하아... 하하하, 위험수당을 청구할 수 없는 게 참 아쉽네.
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:점점 커지는 병사들의 총성이 귀청을 때렸다.+이대로라면 곧 엄폐물을 넘어오겠지.+하지만 앉아서 아무것도 안 하다 죽는 꼴을 당하긴 싫다. 나는 마음을 다잡고, 엄폐물에서 일어나 총을 겨눴다.
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_rifle_finalshot_3h</SE1>:...그리고 총성이 울려 퍼졌다. 병사의 총구가 아니라, 조금 먼 거리의 어디선가.
NPC-Soldier(0)<Speaker>병사</Speaker>||:뭐야?!
NPC-Soldier(0)<Speaker>지휘관</Speaker>||:<color=#A9A9A9>방금 소리는 권총이 아니야.</color>+<color=#A9A9A9>뭐지? 이 타이밍에 지원군이라니, 어디서?</color>
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2>:탕! 탕!+다시 들려온 총성과 함께, 병사 한 명이 머리에 총을 맞고 쓰러졌다. 다른 병사는 곧바로 뒤돌아 습격자의 위치를 파악하려 했지만, 역시 속수무책으로 급소를 피격당해 쓰려졌다.+골목길은 순식간에 조용해졌다.
？？？()<Speaker>？？？</Speaker>||<SE1>AVG_footsteps_woodfloor</SE1>:<color=#00CCFF>지휘관 구출은 추가 유료 서비스인 거 알지? 돌아가면 영수증에 0 하나 더 붙여 줘.</color>
지휘관()<Speaker>지휘관</Speaker>||:404...?
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>안녕 지휘관, 기적 같은 타이밍에 지원군 도착이라니 기분이 어때?</color>+<color=#00CCFF>다만 긴장 풀기엔 아직 일러. 침투한 건 나랑 416뿐이거든. 어쨌든 우리가 지휘관을 데리러 갈게.</color>
UMP45Mod(0);HK416Mod(0)<Speaker>HK416</Speaker><通讯框>||:<color=#00CCFF>금방 갈 테니 조금만 더 버텨 주세요.</color>
UMP45Mod(0);HK416Mod(0)<Speaker>지휘관</Speaker>||:수문이 곧 폭발할 거야. 높은 곳으로 이동해야 해.
UMP45Mod(0)<Speaker>UMP45</Speaker>;HK416Mod(0)||<黑屏1>:<color=#00CCFF>그래? 그럼 서둘러야겠네. 위치가 노출된 이상 벗어나긴 쉽지 않겠지만.</color>+<color=#00CCFF>휴우... 내키진 않지만, 녀석들한테 도와 달라 해야겠네.</color>
