()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
NytoWhite(0)<Speaker></Speaker>||:하얀 소녀는 고개를 끄덕이고, 시선을 그레이에게서 그녀 뒤의 갈라테아 사병들에게 향했다.
NPC-Bodyguard1(0)<Speaker>보안 인원</Speaker>||:그레이 님...? 대체 뭐가 어떻게 된 겁니까...?!
NytoWhite(0)<Speaker>니토</Speaker>||<SE2>Alarm</SE2>:모조리 죽여라.
NytoWhite(0)<Speaker></Speaker>||:낫을 높이 들고, 하얀 니토는 담담히 명령했다.
NPC-Bodyguard1(0)<Speaker>보안 인원</Speaker>||<SE1>Explode</SE1>:뭐, 뭐야――
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:순식간에, 총성과 비명으로 난장판이 되었다.+하지만 그레이는 옷자락의 먼지를 털어낼 뿐, 고개를 돌리지조차 않았다.
NPC-MrsGray(0)<Speaker>그레이</Speaker>||<BGM>BGM_Empty</BGM>:명심해, 자정 전까지 준비를 마쳐라.
NytoWhite(0)<Speaker>니토</Speaker>;NPC-MrsGray(0)||<BGM>BGM_Brain</BGM>:시체는 회수합니까?
NytoWhite(0);NPC-MrsGray(5)<Speaker>그레이</Speaker>||:......
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:상대의 미련함에 또 화가 치밀어 오른 그레이는 호통치려 했지만, 그때 다른 생각이 떠올랐다.+눈은 가늘어졌지만, 표정은 부드러웠다.
NytoWhite(0);NPC-MrsGray(0)<Speaker>그레이</Speaker>||:그렇게 해.+하지만 내게 가져오진 마.+...몰리도에게 깜짝 선물로 주렴.
NytoWhite(0)<Speaker>니토</Speaker>;NPC-MrsGray(0)||:알겠습니다.
NytoWhite(0)<Speaker></Speaker>;NPC-MrsGray(0)||:하얀 니토는 고개를 끄덕이곤 다시 그레이를 바라봤다.+또 성질을 건드릴까 봐 무서워지만, 그래도 떠보듯 조심조심 입을 열었다.
NytoWhite(0)<Speaker>니토</Speaker>;NPC-MrsGray(0)||:당신이 안젤리아 곁에 심은 내통자...+이용해도 됩니까?
NytoWhite(0);NPC-MrsGray(0)<Speaker>그레이</Speaker>||:......
NytoWhite(0);NPC-MrsGray(0)<Speaker></Speaker>||:그레이는 무표정으로 니토를 바라봤다.+하얀 니토가 점점 긴장하는 게 눈에 보이고 나서야, 그레이는 고개를 저으며 뒤로 돌았다.
NPC-MrsGray(0)<Speaker>그레이</Speaker>||:아직은 안 돼.
NPC-MrsGray(0)<Speaker></Speaker>||:학살이 끝났고, 바닥에는 피바다에 잠긴 시체가 즐비했다.+하얀 병사들은 노련하게 시체들을 주워, 차량의 화물과 함께 "폐기"했다.+그레이는 피로 얼룩진 차량을 역겨워하는 눈빛으로 보며 뒤로 물러났다.
NPC-MrsGray(0)<Speaker>그레이</Speaker>||:판도라의 상자는... 함부로 열어선 안 돼.
NytoWhite(0)<Speaker>니토</Speaker>;NPC-MrsGray(0)||:알겠습니다.
NytoWhite(0)<Speaker></Speaker>;NPC-MrsGray(0)||:하얀 니토는 공손하게 머리를 숙였다.
NPC-MrsGray(0)<Speaker>그레이</Speaker>||:그리고 다른 차 가져와.
NytoWhite(0)<Speaker>니토</Speaker>;NPC-MrsGray(0)||<黑屏1>:...네.
