()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
TAC50(2)<Speaker></Speaker>||<BIN>40</BIN><黑屏2><闪屏><duration>25</duration></闪屏>:메이플 문의 제어권이 돌아왔다.+TAC50은 재빨리 카메라를 돌려 어둠 속을 탐색했다.+형체가 있는 것은 찾을 수 없었지만, 대신 형체도 없고 저온인 무언가가 자신의 옆에서 일렁이고 있는 것을 발견했다.
TAC50(2)<Speaker>？？</Speaker>||<BGM>BGM_Truth</BGM>:용서해주세요――+정말 조금만 장난치고 싶었을 뿐이에요――+항복할 테니까 살려만 주세요――
TAC50(2)<Speaker>TAC50</Speaker>||:내 동료 가지고 장난치지 마. 난 그런 거 질색이니까.+지금 동료한테 연락할 테니까, 얌전히 있어. 알겠어?
TAC50(2)<Speaker>？？</Speaker>||:연락 못 해요―― 못 받아요――+여긴 우리 영역이에요――
TAC50(2)<Speaker>TAC50</Speaker>||:그럼, 넌 뭐야?
TAC50(2)<Speaker>유령</Speaker>||:유령이에요――+오늘 밤에만 나타나는 유령이에요――+꿈속에서 노래하고, 환상 속에서 춤춰요――
TAC50(2)<Speaker>TAC50</Speaker>||:...핼러윈에 어울리는 거네.+그래서, 나한테는 무슨 볼일이야?
TAC50(2)<Speaker>유령</Speaker>||:그냥요―― 당신이 우울해 보여서――+마음을 흩뜨려서 몸을 차지하면――+여기서 나갈 수 있을까 해서요――
TAC50(2)<Speaker>TAC50</Speaker>||:그래, 적이구나.+메이플 문, 표식 개시!
TAC50(2)<Speaker>유령</Speaker>||:항복, 항복한다고 했잖아요——+신호 차단도 껐어요——
TAC50(2)<Speaker>TAC50</Speaker>||:......+안 돼. 놓아줄 수 없어.+넌 너무 위험해. 만약 SAT8 씨도 지금 똑같은 상황이라면 정말 큰일이야!+널 없애고, 어서 도우러 가야겠어.
TAC50(2)<Speaker>유령</Speaker>||:다 물러날게요―― 다 포기할 테니까――+우릴 죽이지만 말아 주세요――+우린 그냥 살고 싶어요―― 여기서만 사는 거라 해도 괜찮으니까――
TAC50(2)<Speaker>TAC50</Speaker>||:...약속할 수 있어?
TAC50(2)<Speaker>유령</Speaker>||:우린 죽고 싶지 않아요――+당신의 동료도 굉장해요―― 지금 바로 연결해드릴게요――+제발 살려만 주세요――
TAC50(2)<Speaker>TAC50</Speaker>||:좋아. 내 동료들과 외부하고 연결해줘.+우리가 무사히 벗어날 수 있으면, 널 놓아줄게.
TAC50(2)<Speaker>유령</Speaker>||:고마워요―― 정말 고마워요――+휴우―― 살았어요――
TAC50(2)<Speaker>TAC50</Speaker>||:...유령아, 네 말대로, 방금 난 기분이 안 좋았어.+하지만 바깥세상은 너희가 생각하는 것만큼 좋지 않아. 누가 마음에 들지 않는다고 찢어버리거나 할 수 없어.+너희가 좋든 싫든, 마음대로 할 수 있는 일은 얼마 없어. 너희는... 그런 세상을 좋아하지 않을 거야.
TAC50(2)<Speaker>유령</Speaker>||:그런 가요―? 그런 건가요――
TAC50(2)<Speaker>TAC50</Speaker>||:얌전히 여기에서 즐겁게 살도록 해. 여기선 전쟁도, 다툼도 없으니까...+오히려 우리가 너희를 부러워해야 해. 나도 이런 세상에서 살 수 있다면 정말 좋을 텐데...
TAC50(2)<Speaker>유령</Speaker>||<黑屏1>:즐겁게―― 기쁘게――+다음 핼러윈에는 꼭 함께 춤춰요――
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:MDR과 통신하고 얼마 지나지 않아, TAC50은 현실 세계로 돌아왔다.+점점 밝아지면서 희미해져 가는 전자 숲에서, 유령들은 노래하며 작별 인사를 했다.
지휘관()<Speaker>지휘관</Speaker>||<BIN>87</BIN><BGM>GF_Memorial</BGM>:그런 일이 있었구나. 수고했어, TAC50.
TAC50(2)<Speaker>TAC50</Speaker>||:지휘관님도 힘들어 보이시네요. 제가 없는 동안 무슨 일이라도 있었나요?
TAC50(2)<Speaker>지휘관</Speaker>||:아하하... 좀 떠올리기 싫은 일이야.+뭐, 매년 핼러윈마다 이상한 일이 일어나곤 하니 신경 쓰지 않아도 돼. 그 밖에 더 말하고 싶은 거 있니?
TAC50(2)<Speaker>TAC50</Speaker>||:유령들이 부르던 노래의 가사가 인상 깊었어요. 자신들이 존재할 수 있음을 노래했어요.+하지만, 형체도 없이 전자 공간에서만 있을 수 있는 것을 "살아있다"고 할 수 있을까요?
TAC50(2)<Speaker>지휘관</Speaker>||:딱 잘라 말하긴 어렵겠는걸.+하지만 인류의 옛말 중에는 "사람은 세 번 죽는다"란 말이 있어.
TAC50(2)<Speaker></Speaker>||:지휘관의 말에 TAC50은 믿을 수 없다는 듯 눈이 휘둥그레졌다.
TAC50(2)<Speaker>TAC50</Speaker>||:네?! 인간의 목숨은 하나뿐이지 않나요? 제 데이터에는 그렇게 기록되어 있는데요.
TAC50(2)<Speaker>지휘관</Speaker>||:맞아, 인간의 목숨은 하나뿐이지.
TAC50(2)<Speaker>TAC50</Speaker>||:한목숨으로 세 번 죽는단 말인가요... 그건 정말 힘들어 보이네요.
TAC50(2)<Speaker>지휘관</Speaker>||:문자 그대로의 뜻은 아니야.+인간이 처음 죽는 건 육체가 사망할 때야. 이건 되돌릴 수 없어. 영혼의 존재유무는... 나도 죽어본 적이 없어서 잘 모르겠으니 넘어가자.+그리고 두 번째로 죽는 때는, 유족들이 몇 가지 절차를 거쳐 사망신고를 해서 사회적으로 죽을 때지.+그리고 마지막 세 번째는, 그 사람을 기억하는 마지막 사람마저 죽을 때야. 이 세상에서 아무도 그의 존재를 기억하지 않게 되면서, 진정으로 사라지는 거지.
TAC50(2)<Speaker>TAC50</Speaker>||:그러니까... 누군가가 기억을 해주고 있기에 유령들은 살아있다는 건가요?
TAC50(2)<Speaker>지휘관</Speaker>||:그렇게 말할 수도 있겠지.+나도 예전에 "유령은 사람의 기억으로 인해 존재한다"라는 전설을 들었어.+인형의 기억도 마찬가지로 쳐줄 수 있다면, 네가 그들을 기억하는 이상 꽤 오랫동안 살아갈 수 있을지도 모르겠네.
TAC50(2)<Speaker>TAC50</Speaker>||:그러니까... 전 혼자서가 아니라, 기억 속의 수많은 이들과 함께 살아간다는 거군요.+그리고 어떤 경험이든 더 많은 기억을 만들어 내, 그 기억 속에서 인간과 인형들이 살아갈 수 있기 때문에 의미가 있고요.+으음... 갑자기 이런 문제를 고민하니까, 사고회로의 용량이 부족해지는 느낌이에요.
TAC50(2)<Speaker>지휘관</Speaker>||:넌 나보다 깊게 생각하는구나. 그래도 무리할 필요는 없어.
TAC50(2)<Speaker>TAC50</Speaker>||:순조롭게 결론을 짓는 것도 소중한 경험이잖아요?
TAC50(2)<Speaker>지휘관</Speaker>||:하하, 맞는 말이네.
TAC50(2)<Speaker>TAC50</Speaker>||:하지만, 아직도 잘 모르겠는 것이 있어요.+인간도 인형도, 다들 살아가기 위해서 노력하는 거죠?
TAC50(2)<Speaker>지휘관</Speaker>||:그래. 또 다른 의문이 드는 거니?
TAC50(2)<Speaker>TAC50</Speaker>||:하지만... 계속 살아가면서, 계속 여러 가지를 겪어보는 것이 삶의 의미인가요?+언젠가는 죽게 될 텐데, 그럼 이런 시도와 경험에 무슨 의미가 있는 거죠?
TAC50(2)<Speaker>지휘관</Speaker>||:흐음... 후계자에게 물려주기 위해서려나?+적어도 난 그렇게 생각해... 우리가 그리폰에서 하는 노력들은, 세상을 새로 쓰게 될 테지.+우리의 후손들은 우리가 이뤄낸 노력의 결실을 맛보게 될 거야.+물론, 우리 잘못의 책임을 대신 질 수도 있고.+하지만 어느 쪽이든, 우리는 기억되겠지. 우리의 노력은 분명 다른 누군가에게 도움이 될 테고 말이야.
TAC50(2)<Speaker>TAC50</Speaker>||:...역시 지휘관님의 생각이 더 깊으시네요.+지휘관님과 함께 있으면, 할 수 있는 것도, 생각할 수 있는 것도 많아지는 것 같아요.
TAC50(2)<Speaker>지휘관</Speaker>||:그렇게 칭찬해주니 부끄러운걸.+그래도 결국, 살아간다는 건 생물의 본능이야. 의미를 모른다 해도, 계속 살아가다 보면 언젠가는 찾을 수 있어.+그 의미를 찾을 때까지, 새로운 시도를 계속하는 거야.
TAC50(2)<Speaker>TAC50</Speaker>||:알겠어요.
TAC50(2)<Speaker>지휘관</Speaker>||:그럼, 지금 바로 새로운 일을 해볼까?+어디보자... 예를 들면, 건배라던가.
TAC50(2)<Speaker>TAC50</Speaker>||:건배요?
TAC50(2)<Speaker>지휘관</Speaker>||:그래, 이렇게.
TAC50(2)<Speaker></Speaker>||:지휘관은 잔을 들어 TAC의 잔 끝을 가볍게 쳤다.
TAC50(2)<Speaker>지휘관</Speaker>||<BGM>BGM_Empty</BGM>:인간들은 이렇게 서로를 축복해.+그다음은 단숨에 잔을 비우지. 이렇게......
TAC50(2)<Speaker>TAC50</Speaker>||<BGM>BGM_Hello</BGM>:그렇군요. 지휘관님의 "축복"을 받는다니, 새로운 경험이네요. 그리고 기뻐요.+지휘관님이 제가 만든 음료를 마시는 걸 보는 것만큼 기쁘네요.
TAC50(2)<Speaker>지휘관</Speaker>||:야... 너... 여기다 메이플 시럽을 대체 얼마나...+이거 밀크티인데...!
TAC50(2)<Speaker>TAC50</Speaker><Shake>||:어, 입맛에 안 맞으세요? 밀크티에 시럽을 좀 더 넣는 게 어떨까 싶어서...+지휘관님 괜찮으세요?! 왜 목을 감싸쥐시고...
TAC50(2)<Speaker>지휘관</Speaker>||:괘, 괜찮으니까... 물 좀 줘, 맹물이면 돼!
TAC50(2);SAT8(4)<Speaker>SAT8</Speaker>||:안녕하세요~ 어머, 지휘관님 괜찮으세요? 물은 없지만, 호박 쥬스라면 있는데요.
TAC50(2)<Speaker>TAC50</Speaker>;SAT8(4)||:큰일이에요, 지휘관님 많이 괴로워 보여요...+응급처치를 해야 할까요?
TAC50(2);F1(2)<Speaker>F1</Speaker>||:아님 냉장고에서 콜라라도 가져올까?
TAC50(2);F1(2)<Speaker>지휘관</Speaker>||<黑屏1>:물... 그냥 물이면 되는데...
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><黑屏2>:그렇게, 올해의 핼러윈도 난리 속에서 막을 내렸다.+...내년에는 꼭 부적을 챙겨야겠다.
