()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<BIN>98</BIN><黑屏2><SE1>AVG_rifle_finalshot_h</SE1>:……
QBU88(0)<Speaker>QBU88</Speaker>||:它、它要走了……救命啊！它要带我去哪儿啊——
M200(1)<Speaker>M200</Speaker>||:再次对它的关节……糟糕……弹药用光了！
OTs14(0)<Speaker>OTs14</Speaker>||:看到了！
()<Speaker></Speaker>||:M200此时已经十分狼狈。机甲拖着一条腿往前挪动，而其他的机甲也正在封堵她的路线。+闪电和M16A1对视一眼，M16A1掏出了闪光弹。
OTs14(0)<Speaker>OTs14</Speaker>||:M200，闭眼！
M200(1)<Speaker>M200</Speaker>||<白屏1>:……！
()<Speaker></Speaker>||<白屏2><BIN>98</BIN><BGM>BGM_Empty</BGM>:M200毫不犹豫地闭上眼睛。
OTs14(0)<Speaker>OTs14</Speaker>||<BGM>BGM_Sunshine</BGM>:你还好吗，M200？
M200(1)<Speaker>M200</Speaker>;OTs14(0)||:还好……QBU88她……
M200(1);QBU88(1)<Speaker>QBU88</Speaker>||:我……灰……柳……
M200(1)<Speaker>M200</Speaker>||:好像撞坏了组件的样子……
()<Speaker></Speaker>||:M16A1摆了摆手，看向闪电。+或许是同为领导者的直觉，闪电从她皱起的眉头里领会了她的意思。
OTs14(0)<Speaker>OTs14</Speaker>||:先撤离吧，你们回基地。
M200(1)<Speaker>M200</Speaker>;OTs14(0)||:机甲数量太多了，我们的援军……
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:我们足够了，带她走。
M200(1)<Speaker>M200</Speaker>;OTs14(0)||:……好的，麻烦你们了。
OTs14(0)<Speaker></Speaker>||:M200带着QBU88离开了。+闪电收回目光，和M16A1一起看向面前死寂的战场。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:看起来要花点时间啊……
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:没办法。看来之前的清扫还不够彻底——+和指挥官报备一下，然后就从这里开始重新排查吧。
()<Speaker></Speaker>||:……+从白昼到黑夜，再从黑夜到白昼。+将最后一具机甲的中枢也彻底捣碎后，闪电披着夕阳的光辉直起身，对不远处的M16A1做了个结束的手势。
M16A1BOSS(0)<Speaker>M16A1</Speaker>||:好像拖得有点太久了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:谁都没想到这个工作居然能拖几天，也没想到居然能跑这么远。+还好和指挥官报备过了，但是这时候……这个时间，她们应该已经开始聚会了吧。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:你很期待这场聚会？
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:算是吧。大家一起热热闹闹地吃东西，聊天，享受平静……+这不是比拿枪更让人向往吗？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:也是。聚会上要是有酒就好了……走，我们快点回去，说不定能赶上尾巴。
M16A1BOSS(0);OTs14(0)<Speaker></Speaker>||<黑屏1>:闪电点了点头，两人搭上呼叫来的直升机，向基地归去。
()<Speaker></Speaker>||<黑屏2><BIN>83</BIN><BGM>BGM_Empty</BGM>:然而基地的情景，却让二人深受震撼。
NPC-Kalin(0)<Speaker>格琳娜</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>欢迎回来，闪电，M16！</color>+<color=#00CCFF>宴会已经快结束了，请穿上指挥官为你们准备的礼服再入场哦~</color>
NPC-Kalin(0);OTs14(0)<Speaker>OTs14</Speaker>||<BGM>BGM_Hello</BGM>:宴会？
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;OTs14(0)||:诶，不是闪电你主张举办的宴会吗？
NPC-Kalin(0);OTs14(0)<Speaker>OTs14</Speaker>||<SE1>AVG_tele_disconnect</SE1><黑屏1>:虽然任务中途收到过指挥官的通知，不过居然真的变成这种规模了啊。+算了，这样也不错。
()<Speaker></Speaker>||<黑屏2><BIN>139</BIN><BGM>BGM_Empty</BGM>:等她们穿好礼服走向会场时，宴会已经接近尾声。+音响里播放着舒缓的乐曲，这是舞会开始的信号。+闪电悄无声息地从侧门入场，拿了一杯酒坐在舞池边静静看着大家玩闹。
OTs14(6)<Speaker>OTs14</Speaker>||<BGM>BGM_Moon</BGM>:香槟，音乐，舒缓的气氛。+要是有一位舞伴的话，今天就完美了。
OTs14(6)<Speaker></Speaker>||:自言自语着，她将目光投向舞池中央。+在垂落的灯光下，指挥官正和M16A1翩翩起舞。+闪电笑了笑，继续安然地品酒。+舞曲一首一首地播放着，舞池里的人换了又换。+终于，舞会也到了落幕的时候。
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||:那么，请各位看过来~+宴会玩得开心吗？
NPC-Kalin(1)<Speaker>众人形</Speaker>||:开心——
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||:那么，我们就进入最后的环节——今夜限定摄影展！+我们的摄影师KSVK和M200用她们的镜头记录了这场宴会从开始筹备到现在的许多个瞬间，各位是否能在镜头里发现自己的身影呢？+在欣赏之余，也请别忘了给自己心仪的照片投上一票~
OTs14(6)<Speaker>OTs14</Speaker>||:还有这样的活动啊，真有趣。
OTs14(6)<Speaker></Speaker>||:她抬头看向墙壁。+投影仪将所有照片都投在墙上，有战场角落的花，也有舞会内的俯拍大场景。
OTs14(6)<Speaker>OTs14</Speaker>||:真是……嗯？那张投票飙升的照片是……
()<Speaker></Speaker>||:一张正因为投票变大的照片吸引了她的注意力。+那是她坐在舞池边的照片。照片里的她轻轻摇晃着酒杯，笑着看向舞池的某处。
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||:哦——看起来我们今夜冠军的候选已经出现了！+究竟会是这张“宴会的统治者”获胜，还是“道路的指引者”获胜呢？+敬请期待——
OTs14(6)<Speaker>OTs14</Speaker>||:……呵。还真是精心的安排啊。
OTs14(6)<Speaker></Speaker>||:她笑着转开了目光。+之前一直隐约笼罩在她心里的寂寞仍然持续，但今夜最后的胜者花落谁家，对她来说已经不再重要。+她站起身，向至今仍然握着照相机的M200等人走去。
M200(3)<Speaker>M200</Speaker>||:啊，闪电！
M1911(2)<Speaker>M1911</Speaker>||:哦！我还在找你呢。欢迎回来！
OTs14(6)<Speaker>OTs14</Speaker>||:嗯，我回来了。
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||<黑屏1>:投票截止！+那么，今夜的胜者是——
