()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:그리폰 기지의 복도.
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:매정하긴!+그래도 쌀쌀맞은 미소녀도 귀여워~+아아... 오늘 이렇게 잔뜩 힘 줘 꾸미고 온 애들을 보니 눈이 정말 즐겁다아~
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:그럼 천천히 감상하세요, 전 몸 풀러 갈 거예요.
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:그래~ 같이 춤출 사람은 더 찾아보면 되겠지.
Saiga12(2)<Speaker></Speaker>||:연회장의 조명이 동시에 전부 켜지자, 한순간 눈이 부셨다.
Saiga12(2)<Speaker>saiga12</Speaker>||:하아... 다 아는 사이라지만, 이런 자리에 흔치 않은 복장인데 처음 보는 사람으로 봐주면 안 되나?
Saiga12(2)<Speaker></Speaker>||:Saiga-12는 의욕 넘치게 연회장을 한바퀴 순회했지만, 결국 좋은 댄스 파트너를 찾지 못해 풀이 죽어버렸다.+속상한 마음을 달래기 위해 바에 가 술을 주문하려던 그때, 익숙한 듯 익숙치 않은 감미로운 목소리가 귀를 간질였다.
Saiga12(2)<Speaker>？？？</Speaker><同时置暗>||:킬리안 로즈 한 잔 만들어 주시겠어요?
Saiga12(2)<Speaker>바텐더</Speaker><同时置暗>||:물론이죠, 추가 요구 사항 있으십니까?
Saiga12(2)<Speaker>？？？</Speaker><同时置暗>||:아뇨, 그쪽 표준대로 해 주세요.+이런 이름의 칵테일은, 분명 사람을 심취하게 하는 맛이 나겠죠?
Saiga12(2)<Speaker>saiga12</Speaker>||:못 들어본 목소리! 신입인가?+안녕~? 어머나, 많이 낯익은 미소녀네!
KSVK(9)<Speaker>？？？</Speaker>||:저요?
()<Speaker></Speaker>||:회색빛의 소녀는 어리둥절한 눈으로 자신을 가리켰다.
()<Speaker></Speaker>||:처음 보는 미소녀에게 Saiga-12가 작업을 걸던 그때...
()<Speaker></Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:연회장의 불이 꺼졌다.
()<Speaker>？？？</Speaker>||<BGM>BGM_Moon</BGM><SE1>Heartbeat</SE1>:앗——
()<Speaker>saiga12</Speaker>||:릴렉스 릴렉스~ 좀 있으면 댄스 타임인데, 그냥 하기엔 너무 밝아서 불을 끈 거란다~
()<Speaker>？？？</Speaker>||:그랬군요... 고마워요.
()<Speaker>saiga12</Speaker>||:천만에~ 그런데, 우리 어디서 만난 적 없니?
()<Speaker>？？？</Speaker>||:혹시 KSVK랑 닮았다 생각하세요? 제 언니예요, 닮은 것도 당연하죠.
()<Speaker>saiga12</Speaker>||:그래!? 그, 그럼... 왜 걔가 널 여기 혼자 뒀니?
()<Speaker>？？？</Speaker>||:언니가 오늘은 일 때문에 바쁘다면서 저한테 초대장을 양보했어요.+제 이름은 드셰브니예요. 만나서 반가워요 언니.
()<Speaker>saiga12</Speaker>||<BGM>BGM_Empty</BGM>:드셰브니... 예쁜 이름이네.
()<Speaker></Speaker>||<BIN>139</BIN><黑屏2><BGM>GF_20HW_Scene_BPM82_loop</BGM>:잔잔한 음악이 시작되자, 조명도 그에 맞춰 반짝였다.
()<Speaker>바텐더</Speaker>||:주문하신 킬리안 로즈 나왔습니다.
KSVK(9)<Speaker>드셰브니</Speaker>||:고마워요.
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:넌 춤 추러 안 가?
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:전 춤 안 춰요.
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:에이, 댄스 파티인데 춤을 안 추면 아깝지.
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:봄이 와도 고집부리며 잠에서 깨지 않는 꽃이 있는 것처럼...+무도회에 왔다고 꼭 모두를 따라할 필요는 없죠.
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:그야 겨울에도 피는 꽃이 있으니까 그렇지.+해보지도 않곤 좋은지 싫은지 모르잖아?
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:...언니는 누구에게나 이렇게 열정적인가요?
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:아아아니 당연히 아니지!+<color=#A9A9A9>난 미소녀한테만 열정적이라고!</color>+그, 그게... 나랑 네 언니는 직장 동료잖아? 언니 대신 널 돌봐줄 의무가 있어.+모두가 춤추니까 너도 하라는 게 아니라, 재밌으니까 같이 추러 가자고 권하는 거야.
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:...실은 저, 춤출 줄 몰라요. 제일 간단한 왈츠도 못해요.
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:그럼 내가 가르쳐 줄게!+왈츠가 얼마나 쉬운데!
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:정말요? 전문 학원 같은 데서 배우는 사람도 있다던데.
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:정말로 쉽다니까! 드셰브니, 네가 달을 쫓는 장미라 생각해 보렴. 바람을 맞으며 동그란 달의 그림자를 찾는 장미.+네 치마가 빙글 돌면, 정말 예쁜 장미 같을 거야.+네 손의 그 킬리안 로즈랑 정말 잘 어울릴걸?
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:말을 듣으니 조금 해보고 싶은 마음이 드네요.+하지만 여긴 사람이 너무 많아서 겁나요.
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:그, 그럼 사람 적은 데서 연습할까?!
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:...네?
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:여기서 가까운 데에 무용실이 있거든!
Saiga12(2);KSVK(9)<Speaker>드셰브니</Speaker>||:풉... 그치만 제가 실수하는 꼴을 언니한테만 보이는 것도 부끄러운걸요.
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||<黑屏1>:아, 안 볼게. 절대 안 볼게.+네가 달을 찾는 동안 나도 내 달을 찾으면 돼!
()<Speaker></Speaker>||<BIN>83</BIN><Night><黑屏2>:어찌어찌 설득된 드셰브니는, Saiga-12에게 이끌려 무도회장 밖으로 나왔다.+조금 긴장되면서도 스릴감이 느껴졌다. 달빛 아래서 처음 보는 미소녀와 함께 춤춘다고 생각하니, Saiga-12의 가슴에 기대감이 가득 찼다.+드셰브니는 말이 적었지만, 입가의 저 미소는 즐겁다는 뜻이 분명했다.
ZasM76(2)<Speaker>ZasM76</Speaker>||<BGM>BGM_Empty</BGM>:두 분 거기서 뭐하세요?
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||<BGM>BGM_Sneak</BGM>:아이 깜짝이야! M76 너야말로 여기서 뭐해?!
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:저야 춤 연습하고 있었죠.+...Saiga 씨, KSVK 데리고 어딜 그렇게 급하게 가요?
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:사람 잘못 봤어, 얘는 KSVK의 동생 드셰브니야.
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:동생...? 당신이 잘못 본 게 아니라요?
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:내가 제대로 안 말했나... 얜 KSVK의 여동생이라니까?
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:좀 어려보이는 소체일 뿐이지, 저한텐 KSVK로 인식되는걸요 뭘.+그래서 KSVK, Saiga 씨가 몇 번째 희생양인가요?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:이런, 들켜 버렸나?+그리 많지 않아, Saiga가 13번째다.
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:뭐...라고...?
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:SVD는요? 그녀도 당신의 정체를 알아봤나요? 몇 초나 걸렸어요?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:물론 SVD한테도 들켰지. 걸린 시간도 대충 너와 비슷했다.
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:그건 좀 아쉬운데요... 역시 춤으로 승부를 보는 수밖에 없나.
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:KSVK... 너... 너 날 속였어...?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:그 말대로. 평소 장난 안 하던 자가 갑자기 장난을 치면 성공하기 쉬운 법 아닌가?
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:그... 그럼 같이 춤 추는 건...?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:하하, 정체가 들통난 이상 계속할 의미가 있나.
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:그... 그렇지...
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:그럼 오늘의 장난은 여기까지인 걸로. 괜찮지?
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:응...
Saiga12(2)<Speaker></Speaker>||:"드셰브니"는 미소와 함께 작별 인사를 건넸다. 그 표정은, 틀림없는 KSVK 본인이었다.
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:저도 연습 계속해야 하니까 방해하지 말아 주세요.
Saiga12(2)<Speaker>saiga12</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:응... 난... 좀 혼자서 생각을 좀...
()<Speaker>saiga12</Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Wake</BGM>:내가 13번째로 속았다고?+왠지 좀 속상한걸...+내가 처음이자 마지막으로 속은 유일한 사람이었다면 덜 속상했을지도...+아아... 난 장난에 당해서라도 특별한 사람이 되고 싶은 걸까...?
()<Speaker></Speaker>||<BIN>83</BIN><Night><黑屏2>:무도회도 막을 내린 뒤, Saiga는 인파 속에서 찾던 인물을 발견했다.
Saiga12(2)<Speaker>saiga12</Speaker>||:KSVK! 나랑 얘기 좀 하자!
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:음? 물론이지.+아까의 장난에 대한 보복이라면 개의치 않아. 물론, 할 수 있다면 말이지만.
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:...그럴 생각 없어.+그냥, 너한테 미안하다 전하고 싶어서.
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:내가 잘못 들었나...?+분명 당한 자는 너인데, 왜 네가 나한테 사과를 하려는 것이지?
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:오늘 일이 아니라, 처음 만났을 때 말이야.+보자마자 달려들어서 앨범 주고 그래서 많이 실례였지? 미안해...
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:아하... 흠, 확실히 좀 많이 놀라긴 했다.+그런 선물을 받는 건 난생 처음이었어서, 꽤 신기한 경험이었어.
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:그것 때문에 나쁜 인상을 줬다면 진심으로 사과할게!+난 그저... 내 호감을 표현하고, 미소녀의 호감도 얻고 싶어서 그랬어.+그런데 곰곰이 되새겨 보니까, 그게 잘못된 행동이었을 수도 있단 생각이 들었어.+정말 미안해.
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:타인의 호감을 얻기 위해, 먼저 호의를 표한다...?+그런 적극적인 태도는 실로 훌륭한 것이다만.
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:하지만 무턱대고 들이대면 받는 사람 입장에서도 난처하단 걸 깨달았거든.+게다가 주는 물건이 상대가 좋아하지 않는 걸 수도 있는 데다, 아직 상대에 대해 잘 모르니까...
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||<BGM>BGM_Empty</BGM>:그럼, 처음부터 다시 시작할까?
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||<BGM>BGM_Sunshine</BGM>:...어?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:내일 오후 2시, 카페에서 기다리겠다.
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker><Shake>||:뭐?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:사과하려 한다면 지금은 때가 아니야. 여우도 어린 왕자와 시간을 정하고 다시 만났잖나?+그러니, 우리도 내일 처음 만난다고 생각하면 돼.+후훗, 의례라... 언제 해도 역시 기대감으로 흥분되는군.
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||<黑屏1>:......으, 응! 절대 안 늦을게!!
