()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:아가씨 같은 인형에겐 이야기가 좀 달라요. 이름처럼 인형을 숭배하는 교단이라 인형에 대해 잘 알고, 또 상대하는 법에도 아주 도가 텄습니다.+평소에는 일부러 드러내지 않지만, 그들이 신분을 밝힌다면 그때가 바로 저항할 때입니다.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:잘 알기에 무서운 법이다?
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:그렇다고 할 수 있죠.+아무튼, 이만 돌아가셔도 됩니다. 그쪽 상사분께도 감사하다고 전해 주세요.
Welrod(0)<Speaker>웰로드</Speaker>||:......
Welrod(0)<Speaker></Speaker>||:웰로드는 상인에게 허리 숙여 인사하고, 그가 건물 안으로 모습을 감출 때까지 지켜봤다.
Welrod(0)<Speaker>웰로드</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:<color=#A9A9A9>목표를 안전지대까지 호위 완료. 대상이 이쪽에 관심을 보이지 않는 것을 확인.</color>+<color=#A9A9A9>흥... 그런 말에 납득하고 넘어갈 줄 알고?</color>+<color=#A9A9A9>아무리 봐도 수상해, 혹시 모르니 이 기회에 기본 정보를 파악해 둬야겠어.</color>+<color=#A9A9A9>우선 이 근방부터 살펴볼까.</color>
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Sneak</BGM>:단독 행동을 결심한 웰로드는 곧바로 주변의 정찰을 시작했다.
()<Speaker>행인 A</Speaker>||<SE1>AVG_footsteps_cave</SE1>:그 소문 들었어? 요즘 거리에 유령이 돌아다닌대...
()<Speaker>웰로드</Speaker>||:<color=#A9A9A9>유령 따위 있을까 보냐. 필시 누군가의 분장겠지.</color>
()<Speaker>행인 B</Speaker>||:아, 그 얘기 나도 들었어. 콘크리트 벽에서 우는 소리가 들린다던데, 혹시 공사장에서 죽은 인부의 원혼이 떠도는 거 아니야?
()<Speaker>웰로드</Speaker>||:<color=#A9A9A9>그럴 리가. 바람소리를 착각한 거겠지.</color>
()<Speaker>행인 C</Speaker>||:우리 집도 천장에서 무슨 애가 구슬치기라도 하는 거 같은 소리가 들리더라니까요. 우리 집은 아파트 꼭대기 층인데...
()<Speaker>웰로드</Speaker>||:<color=#A9A9A9>말도 안 돼. 합성판이나 콘크리트에 금이 가는 소리겠지.</color>
()<Speaker>행인 B</Speaker>||:동네 너무 흉흉한 거 아닌가... 인형의 구원 교단한테 봐 달라 하면 어때?
()<Speaker>웰로드</Speaker>||:<color=#A9A9A9>......!</color>
()<Speaker>행인 A</Speaker>||:넌 또 뭐 그딴 걸 믿냐?+인형이래봤자 공장에서 기계가 조립해서 만든 거에, 계시네 뭐네 하는 것도 다 난수 연산해서 뱉는 거잖아? 그냥 다 사기야, 사기.
()<Speaker>행인 B</Speaker>||:아니 진지하게 유령 얘기할 땐 언제고?+그 교단도 헛소리만 떠드는 게 아니라, 다 과학적 근거를 두고 말하는 거라고.+그리고... 이상하지 않아? 왜 우리 동네서만 이런 일이 일어나는데?
()<Speaker>행인 C</Speaker>||:그러니까... 살인 사건일지도 모른단 얘기예요?
()<Speaker>행인 B</Speaker>||:말이 그렇다는 거지. 그래도 가만 있긴 너무 찝찝하다니까...+일단 한번 불러보고, 영 마음에 안 들면 경찰한테도 말해보자.
()<Speaker></Speaker>||<黑点1>:어느 행인들의 대화를 들은 웰로드는 무언가 있음을 직감하곤, 몰래 뒤를 쫓아 그들이 사는 거리까지 미행했다.
()<Speaker></Speaker>||<BIN>166</BIN><Night><黑点2>:어느덧 날은 저물어, 고요한 밤이 찾아왔다.+적당한 위치를 잡은 웰로드는 눈을 감고 청각 모듈의 감도를 최대로 높였다.
()<Speaker>울먹이는 소리</Speaker>||<SE1>GF_Halloween_Femal_Cry_loop</SE1>:흑... 흑흑...
Welrod(0)<Speaker>웰로드</Speaker>||<SE1>Stop_AVG_loop</SE1>:<color=#A9A9A9>확실히 수상한 소리가 들리는군.</color>+<color=#A9A9A9>바로 이 근처... 음?</color>
Welrod(0)<Speaker></Speaker>||:소리가 들려오는 방향을 따라 다다른 곳은 변두리의 아직 공사가 한창인 건설 현장이었다.+절반 정도 세워진 콘크리트 벽 옆에, 몸이 성치 않은 인형이 어슬렁대며 우는 소리를 내고 있었다.
Welrod(0)<Speaker>웰로드</Speaker>||:네놈이 유령의 정체렷다?
NPC-PasserbyM(0)<Speaker>애꾸눈 인형</Speaker>;Welrod(0)||:악... 어아...
NPC-PasserbyM(0);Welrod(0)<Speaker>웰로드</Speaker>||:...발성 모듈까지 망가진 상태인 건가.
NPC-PasserbyM(0);Welrod(0)<Speaker>울먹이는 소리</Speaker><同时置暗>||<SE1>GF_Halloween_Femal_Cry_loop</SE1>:흑... 흑흑...
NPC-PasserbyM(0);Welrod(0)<Speaker>웰로드</Speaker>||:......?+네가 아니었어?
NPC-PasserbyM(0)<Speaker></Speaker>;Welrod(0)||<SE1>Stop_AVG_loop</SE1>:한쪽 눈알이 없는 인형이 아직 다 지어지지 않은 콘크리트 벽을 가리키자, 무슨 뜻인지 눈치챈 웰로드는 공사장의 망치로 그 벽을 힘껏 쳤다.
Welrod(0)<Speaker></Speaker>||<SE1>AVG_Explosion</SE1>:그러자 벽이 생각보다 훨씬 쉽게 부서지더니, 안에서 분홍색 머리의 인형이 굴러 나왔다.
Welrod(0)<Speaker>웰로드</Speaker>||<震屏1>:어...?
sub2000(5)<Speaker>？？？</Speaker>||<黑屏1>:푸하아! 죽는 줄 알았네... 엥, 열쇠장이 너 왜 여기 있어?+...넌 또 누구야?
