()||<BIN>88</BIN><BGM>BGM_Sad</BGM>:어느 폐기된 창고.
BrenMK(0)<Speaker>브렌</Speaker>;L85A1(0)||:쯧... 그 미련한 고양이는 또 다쳤군.+넌 녀석을 돌보러 가봐...+난 웰로드하고 할 말이 있으니까.
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:... 네.+저기...+브렌, 임무 끝나고 나서... 저희 다과회에 올 건가요?
BrenMK(0)<Speaker>브렌</Speaker>;L85A1(0)||:... 봐서.
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:오든 안 오든 정하면 꼭 말해주세요.
BrenMK(0)<Speaker>브렌</Speaker>;L85A1(0)||:그러지.
L85A1(0)<Speaker>L85A1</Speaker>||<黑点1>:그럼, 나중에 봐요!
()||<黑点2>:L85A1이 떠났다.
Welrod(0)<Speaker>웰로드</Speaker>||:브렌, 하고 싶은 말이 뭔가?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:웰로드... 넌 어째서 그렇게 강한 거지?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:왜 그런 것을 묻는가?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:난 언제나 강해지고 싶었어.+하지만 어떻게 노력해도 너처럼... 엘리트 인형처럼 될 수가 없었어.+전장에서든 일상에서든 넌 항상 우수했어.+알려줘, 웰로드. 대체 어떻게 그렇게 강할 수 있지?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:엘리트 인형이기 때문이다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:그런 답을 듣고 싶지 않아!+네 녀석도 괴상한 마인드맵에 성격은 음침하고 하는 짓은 꼰대 같고, 허구한 날 겉치레뿐인 설교만 하고!+그러면서 그런 상향심 없는 녀석들을 데리고 임무를 훌륭하게 완수하고.+언제나 알아 듣지 못 할 말이나 하면서도 모두에게 이쁨을 받고...
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:브렌...
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:난 강해지기 위해서 수많은 것들을 포기했는데도 여전히 엘리트 인형을 따라잡지 못했어...+젠장, 너 같은 녀석은 정말... 사기라고...
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:그저 강해지기 위해서 강해지려는 것이면 너도 거기까지인 것이다, 브렌.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:무슨 말이야?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:내가 강한 진정한 이유를 알려주지...+난 항상 정의를 수호하고 있기 때문이다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:"정의"를 수호하기에 강해질 수 있다는 거야?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:아니.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:그럼 대체 어째서야?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:정의는 강해야만 한다.+강하기 때문에 정의지.+그러니 정의를 수호하는 나도 반드시 강해야만 한다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:... 그게 무슨 말이야.+전혀 못 알아듣겠어.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:넌 계속 강해지고 싶다고 했지, 하지만 무엇이 강함인지 정말로 알고 있는가?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:그럼, 웰로드...+너에게 강함이란 무엇인데?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:강함이란 누구보다 수치 상으로 더 우수하거나 타인을 발밑에 둔다는 것이 아니다.
Welrod(0)<Speaker>웰로드</Speaker>||:황무지에 깊숙이 묻힌 소망의 씨앗은 신념과 노력을 거름으로 결국엔 저 하늘을 향해 가지를 뻗는다.+자신이 나아갈 목표를 명심하고 이 땅 위의 바로 서서 그 목표를 향해 곧바르게 나아간다.+그 포기를 모르는 마음을 바로 "강함"이라고 부른다.
BrenMK(0)<Speaker>브렌</Speaker>||:... 웰로드, 또 이상한 말을 늘여놓고 있잖아.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:그 어느 때에도 정의를 관철한다. 이것이 내가 강해진 이유다.+브렌, 넌 무엇을 위해 강해지는 거지?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:난...
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:그 이유를 찾아봐라, 브렌.+그러면 너도 진정하게 강해질 것이다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:말은 쉽지, 웰로드...+그런 것을 어떻게 쉽게 찾겠어.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:너라면 찾을 수 있다고 믿는다.+네가 하고 싶은 일, 네가 맡고 싶은 "역할"을 찾아라.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:하지만... 난 이미 한계야, 웰로드. 어쩌면 더는 강해질 수 없는 것일지도 몰라.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:그렇지 않다, 브렌.+넌 더 강해질 수 있다. 너에겐 그 자격이 있다.+너에겐 그저 계기가 필요할 뿐이다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:...계기?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:한 가지 방법이 생각났다, 듣고 싶나?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:뭔데?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||<黑屏1>:바로...
