()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:휴게소는 그야말로 아수라장이었다.
pp19(0);AKAlfa(0)<Speaker>AK Alfa</Speaker>||:마인드맵 업그레이드의 효과가 대단하네요.
pp19(0);NPC-Kalin(1)<Speaker>카리나</Speaker>||:이거 진짜 마법 같다! 아무튼 이번 임무 평가는 B로밖에 못 쳐 줘.+앞으로 더 노력해, 비존!
pp19(0)<Speaker>pp19</Speaker>;NPC-Kalin(1)||:끄응... 알았어. 그럼 이제 소체 교체받아도 돼지?+나도 업그레이드가 꽤 효과 있다고 생각해.
NPC-Kalin(1)<Speaker>카리나</Speaker>||:물론이지! 새 소체는 이미 숙소에 뒀으니까 어서 가서 교체해~
()<Speaker></Speaker>||:숙소로 돌아가는 PP-19의 뒷모습이 문밖으로 사라지는 걸 확인한 뒤, 카리나는 시선을 AK-Alfa에게 돌렸다.
NPC-Kalin(0)<Speaker>카리나</Speaker>||:그러고 보니, 그때 Alfa 너도 반대표를 냈었지? 왜 지금은 찬성하게 됐어?
NPC-Kalin(0);AKAlfa(0)<Speaker>AK Alfa</Speaker>||:그땐... 본인이 싫다는데, 설득에 시간을 들일 바에야 다른 인형한테 기회를 양보하는 게 낫다고 생각했어요.+이번에 임무를 받은 것도 카리나 씨랑 지휘관이 걱정하지 않았으면 해서였고요.
NPC-Kalin(0)<Speaker>카리나</Speaker>;AKAlfa(0)||:오~ 그런 이유였구나.+하지만 지금은 생각이 달라졌구나?
NPC-Kalin(0);AKAlfa(0)<Speaker>AK Alfa</Speaker>||:네, 어느 정도는요. 비존에게도 자신만의 반짝이는 점이 있었어요. 광활한 우주 아래에서, 인간 외에도 지켜볼 만한 게 또 있었네요.+카리나 씨, 쟤라면... 제 독서 친구가 되어 줄까요?
NPC-Kalin(0)<Speaker></Speaker>;AKAlfa(0)||:카리나는 손에 든 민원서를 보면서 헛웃음을 냈다.
NPC-Kalin(0)<Speaker>카리나</Speaker>;AKAlfa(0)||:아하하... 그건 역시 좀 많이 힘드려나... 에이, 그래도 가능성은 있지!+...천문학적이긴 해도.
AKAlfa(0)<Speaker>AK Alfa</Speaker>||:그 우주의 특이점 같은 가능성이 찾아올 때까지 기다릴게요.+그럼 서류 정리나 어서 끝내죠.
AKAlfa(0)<Speaker></Speaker><同时置暗>||<SE1>AVG_lifttable</SE1>:AK-Alfa의 말이 끝나기가 무섭게 문이 쾅하고 열렸다.
AKAlfa(0)<Speaker>AK Alfa</Speaker>||:?!
pp19Mod(0)<Speaker>pp19</Speaker>||:깜빡했다!
pp19Mod(0);NPC-Kalin(3)<Speaker>카리나</Speaker>||:와, 소체 벌써 교체했네?+으아아 서류 또 다 쏟아졌잖아... 이런 점도 신경써 줘, 비존...
pp19Mod(0)<Speaker>pp19</Speaker>;NPC-Kalin(3)||:미안해! 아무튼 AK-Alfa! 그때 네가 소떼한테서 셜리를 지켜준 거지?
pp19Mod(0);AKAlfa(0)<Speaker>AK Alfa</Speaker>||:그 애를 지키는 것도 임무였으니까.
pp19Mod(0)<Speaker>pp19</Speaker>;AKAlfa(0)||:어쩐지. 네가 없었다면 그때 분명 셜리가 크게 다쳤을 거야.+고마워, 겉보기만큼 도도하진 않구나!
pp19Mod(0);AKAlfa(0)<Speaker>AK Alfa</Speaker>||:그냥... 임무라니까.
pp19Mod(0)<Speaker>pp19</Speaker>;AKAlfa(0)||:에이, 그러지 말고. 날 봐, 이제 나도 너랑 동급이잖아?+그러니까, 다음에도 임무 같이 나가자! 더 뛰어난 내 모습을 보여주겠어! 어때?
pp19Mod(0);AKAlfa(0)<Speaker>AK Alfa</Speaker>||:...그보다, 너 맥주 좋아해?
pp19Mod(0)<Speaker>pp19</Speaker>;AKAlfa(0)||:맥주?
pp19Mod(0);AKAlfa(0)<Speaker>AK Alfa</Speaker>||:맥주든 공상과학 소설이든, 같은 취미가 없는 사람이랑은 호흡이 안 맞아.
pp19Mod(0)<Speaker>pp19</Speaker>||:오호라~ 지금 나 무시하는 거야? 겨우 맥주 가지고, 얼마든지 마셔 주겠어! 지금 당장 가자!
NPC-Kalin(0)<Speaker>카리나</Speaker>||<震屏>:잠깐!
NPC-Kalin(0)<Speaker>카리나</Speaker>||<黑屏1>:서류는 정리해 주고 가――!!
