()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_Helicopter</SE1>:어두운 밤, 어느 밀림의 전장.
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||<BGM>BGM_Empty</BGM>:여기요, 시집 다 말랐어요.+그런데, 종이에 기록을 남기는 건 영 비효율적이지 않나요? 요즘은 다 전자책인데, 왜 아직도 종이 서적을 수집해요?
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:기록이 아니라 시야, 내 우상의 시집이라고! 세상에서 가장 위대한 시인 중 한 명, 살면서 스쳐 지나간 사람까지 시로 담아낸 분이지!
F1(0)<Speaker>F1</Speaker>||<BGM>GF_Memorial</BGM>:도로변의 잡초에서 꿋꿋하게 살아가는 의지를 보고, 귀갓길을 밝히는 달님도 당연하다 여기지 않고 맞이하니.+지나가던 행인이 술 한잔 권하면, 절대 눈을 돌리는 일 없이...
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:아하, 그런 화려한 구절들이 전부 그 두꺼운 책에 적혀 있군요?
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:맞아! 그의 생각과 영혼이 담긴 책이야!
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:영혼이요? 그 책에서 메모리칩 같은 건 감지 안 되는데요?
F1(0)<Speaker>F1</Speaker>||<震屏>:<size=50>아 진짜, 생각! 시에 대한 애정과 열정!</size>
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:우와, F1이 엄청 눈을 반짝여요.
F1(0)<Speaker>F1</Speaker>||:내가 이분의 시를 처음 본 건 인터넷에서였긴 하지만, 언제나 전통적인 서적으로 출판하길 고집했어.+나도 계속 그의 발자취를 쫓아 새 작품이 나올 때마다 바로 한 권 샀어. 이것도 가장 최근에 나온 판본이야!+아아, 직접 만나 뵐 수 있다면 얼마나 좋을까... 친필 사인 받고 싶다아...
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:그분 성함은 어떻게 돼요? 나중에 한번 찾아볼게요.
F1(0)<Speaker>F1</Speaker>||:한스.
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:...거의 철수와 영희 수준으로 널린 이름 아니에요?
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:데이터 처리 잘하는 인형에게 부탁하면 어떻게든 되겠죠.
F1(0)<Speaker>F1</Speaker>;MP5Mod(0)||:나도 진작에 찾아봤지만, 그가 살던 곳은 10년 전에 전장이 됐대.
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:아... 하긴, 인간은 연약하니까요. 아무리 약골인 인형이라도 일반인을 상대로 힘싸움에서 지는 일 없는걸요. 어쩌면...
F1(0)<Speaker>F1</Speaker>||:억지라는 거 나도 알아...
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:그래서 기분이 그렇게 안 좋아 보였군요...
F1(0)<Speaker>F1</Speaker>||:하아아... 인간은 기쁨도 슬픔도 다 기록으로 남기는데, 우리는 우리의 기분을 다른 이에게 전할 수 있는 날이 과연 올까?
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:그거야 쉽죠, 데이터 허브를 이용하면 되잖아요.
F1(0)<Speaker>F1</Speaker>||:아니 그런 식 말고! 내 말은, 어... 그러니까, 이걸 뭐라 해야 하나...+각자의 이해와 관점이 다르더라도, 무언가를 보고 같은 아름다움을 느끼는 거.+타인의 생각을 정확하게 이해할 순 없어도, 몇 마디 글에서 느껴지는 "마음" 말이야.
MP5Mod(0)<Speaker>MP5</Speaker>||:엄청 심오한 말이네요.
M1897Mod(0)<Speaker>M1897</Speaker>||:그러니까 "밀림의 시인"이죠.
F1(0)<Speaker>F1</Speaker>||<黑屏1>:<color=#A9A9A9>역시, 아무리 인형끼리여도 서로 완벽히 이해하지 못하는구나.</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:하룻밤의 휴식과 보급을 마치고, 세 인형은 다시 작전을 수행할 준비를 했다.
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_NightOPS</BGM>:여기는 상당히 난잡한 지형이라 임시 거점이 열 곳은 넘게 있을 거예요. 그래도 다 작전 능력이 엄청 떨어지는 낙오 병력들일 테니, 흩어져서 수색해도 큰 문제는 없겠죠.
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:네.
MP5Mod(0);F1(0)<Speaker>F1</Speaker>||:알았어.
MP5Mod(0)<Speaker>MP5</Speaker>||:그럼, 이 보급고를 중심으로 흩어져서 수색해요.+신호가 나빠서 연락 두절되기 쉬우니, 수색 결과가 어떻든 3일 후에 여기로 복귀해서 정보를 교환하도록 하고요.+그리고 혹시 모르니까 혼자서 너무 깊숙이 침투하는 건 삼가하도록, 알았죠?
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:우와, MP5한테 이런 면도 있다니 놀랐어요. 돌아가면 XM8한테도 말해 줘야겠는데요?
MP5Mod(0)<Speaker>MP5</Speaker>||:정말, M1897까지 놀리기에요!?
F1(0)<Speaker>F1</Speaker>||:그럼 모두 무사하길 바랄게. 난 별로 돌아가고 싶지 않지만...
MP5Mod(0)<Speaker>MP5</Speaker>||:걱정 마요 F1, 지휘관님도 카리나 씨도 분명 당신의 기분을 이해해 줄 거예요.
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:대화를 마치고, 세 인형은 각자 맡은 방향으로 향했다.
