()||<BIN>8</BIN><黑屏2><BGM>BGM_Hello</BGM>:......+그리폰 기지 내부.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:음...... 그 그렇다면 개조를 거절하거나, 다른 의견을 제시하는 건 어떠신가요?+지휘관이라면, 분명 귀 기울여 주실 거라구요?
M1891(0)<Speaker>모신나강</Speaker>||:거절은 차마 못 하겠어......+지휘관도 내가 작전능력에서 후배들과 격차가 생기는 걸 염려해서, 앞당겨 명단에 올린 거니까.+이대로라면 머지않아 전투제대에서 물러나게 될 테지......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:그렇게 된 일이군요......+요새 다들 여기 와서, 모신나강 씨에게 무슨 고민이 있는 건 아닌지 물어왔거든요.
M1891(0)<Speaker>모신나강</Speaker>||:어머......? 다른 애들도 벌써 눈치를 챘나 보네......+잘 숨겼다고 생각했는데......+다른 애들이 지휘관을 오해하거나, 뒤에서 몰래 지휘관을 흉보지 않았으면 해서 조용히 있던 건데......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:다음번에 모두에게 이야기하는 편이 나을 거라고 생각해요. 다들 당신을 걱정하고 있답니다.+이런 일을 혼자서 고민하면, 오히려 결정하기 어렵다고 생각해요.
M1891(0)<Speaker>모신나강</Speaker>||:결정을 해야 하는 건가......+스프링필드...... 나는 이제...... 어쩌면 좋을지 정말 모르겠어......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:............+그렇지만...... 어째서 그렇게까지 완강히 버티시는 건가요?+이런 건 평소의 모신나강 씨답지 않은걸요?
M1891(0)<Speaker>모신나강</Speaker>||:사실 전술 인형으로 개조를 받은 직후에는...... 이 총과 각인 시스템으로는 설명할 수 없는 충돌이 잦았거든......+아마 그때의 나에겐 이런 낡은 골동품보다, 신식 무기가 더 어울린다고 생각해서 그런 것 같아.+그 후, 이 총의 역사와 짊어진 가치를 알게 되면서, 이 총을 지닌 자가 자랑할 것들이 많다는 걸 깨달았지......+그 후, 더 이상 충돌이 일어나지 않았어.
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:그렇네요, 각인 시스템과 마인드맵 사이의 관계는 이론처럼 단순하지는 않으니까 말이죠.
M1891(0)<Speaker>모신나강</Speaker>||<黑屏1>:이런 혈통을 인정할 수 있었기에, 이 총을 지니고 자랑스럽게 전선에 나설 수 있었어.+그렇기 때문에, 이것만큼은...... 그렇게 쉽게 타협할 수 없어.
